horizon,side,bucket,n,avg_side_aligned_skew_bps,avg_mid_move_bps,median_mid_move_bps,avg_fill_edge_bps
5s,all,<-0.05bps,3,-0.06651419728728264827202838073,-2.950072245305413896078580475,-2.999204393477467734699253528,0.1941399839270074939483916976
5s,all,"[-0.05,-0.01)bps",4,-0.03168952565246860926785319898,-0.6999301153322342266853907358,-0.2905631615362056920974811853,0.1174008574898577888441777655
5s,all,"[-0.01,0.0)bps",1501,-0.0005867381473133362747038941942,-1.339128336132749743482545528,-1.089167578603182841499771042,0.2123713027578812269064669066
5s,all,"[0.0,0.01)bps",98,0.0002983321360036654565930731368,-1.393246057603391564874435686,-1.175277782329714921869935753,0.2703518176224989305344399722
5s,all,"[0.01,0.05)bps",0,,,,
5s,all,>=0.05bps,0,,,,
5s,buy,<-0.05bps,3,-0.06651419728728264827202838073,-2.950072245305413896078580475,-2.999204393477467734699253528,0.1941399839270074939483916976
5s,buy,"[-0.05,-0.01)bps",0,,,,
5s,buy,"[-0.01,0.0)bps",767,-0.0005761704751583194057104659579,-1.364540075362617280316769059,-1.118359465421506412850670919,0.2123577459060854033574087531
5s,buy,"[0.0,0.01)bps",40,0.000318833085977860263238093683,-1.114036960358519347024973865,-0.982560068326598126245609465,0.306675059106356413076044325
5s,buy,"[0.01,0.05)bps",0,,,,
5s,buy,>=0.05bps,0,,,,
5s,sell,<-0.05bps,0,,,,
5s,sell,"[-0.05,-0.01)bps",4,-0.03168952565246860926785319898,-0.6999301153322342266853907358,-0.2905631615362056920974811853,0.1174008574898577888441777655
5s,sell,"[-0.01,0.0)bps",734,-0.0005977809327941236568809506749,-1.312574107264482167526347377,-1.070477822618976941330565572,0.2123854691139131024679486559
5s,sell,"[0.0,0.01)bps",58,0.0002841935498145655899413348295,-1.585804055703303439253374869,-1.451828594549705717057466456,0.2453013062543213563678162809
5s,sell,"[0.01,0.05)bps",0,,,,
5s,sell,>=0.05bps,0,,,,
30s,all,<-0.05bps,3,-0.06651419728728264827202838073,-7.623043800290931602292691197,-2.061661986314915160384448048,0.1941399839270074939483916976
30s,all,"[-0.05,-0.01)bps",4,-0.03168952565246860926785319898,-1.998050203714487251597985240,-1.740988687502540950496681198,0.1174008574898577888441777655
30s,all,"[-0.01,0.0)bps",1493,-0.0005877330613783369192586285482,-1.727696222583956660605189220,-1.430755106820216502613675806,0.2122122981502171950561534868
30s,all,"[0.0,0.01)bps",98,0.0002983321360036654565930731368,-1.012842257505061635071884075,-1.053513083226826497572327040,0.2703518176224989305344399722
30s,all,"[0.01,0.05)bps",0,,,,
30s,all,>=0.05bps,0,,,,
30s,buy,<-0.05bps,3,-0.06651419728728264827202838073,-7.623043800290931602292691197,-2.061661986314915160384448048,0.1941399839270074939483916976
30s,buy,"[-0.05,-0.01)bps",0,,,,
30s,buy,"[-0.01,0.0)bps",762,-0.0005768200956148585834591136958,-1.736929731086377176855028587,-1.377890245112144606579575339,0.2120215084308033474963276322
30s,buy,"[0.0,0.01)bps",40,0.000318833085977860263238093683,0.8942971217042345701815317255,0.1708146148984507114428710520,0.306675059106356413076044325
30s,buy,"[0.01,0.05)bps",0,,,,
30s,buy,>=0.05bps,0,,,,
30s,sell,<-0.05bps,0,,,,
30s,sell,"[-0.05,-0.01)bps",4,-0.03168952565246860926785319898,-1.998050203714487251597985240,-1.740988687502540950496681198,0.1174008574898577888441777655
30s,sell,"[-0.01,0.0)bps",731,-0.0005991088204915660463163991598,-1.718071142585537463091676776,-1.528158073202625322416437825,0.2124111788153243795166012315
30s,sell,"[0.0,0.01)bps",58,0.0002841935498145655899413348295,-2.328110794890783155936308760,-2.320072937347565822452229106,0.2453013062543213563678162809
30s,sell,"[0.01,0.05)bps",0,,,,
30s,sell,>=0.05bps,0,,,,
1m,all,<-0.05bps,3,-0.06651419728728264827202838073,-6.329054751453898166530821947,-6.936251092289540881379905953,0.1941399839270074939483916976
1m,all,"[-0.05,-0.01)bps",4,-0.03168952565246860926785319898,-2.431679200644210339367179367,-2.947942926112411650970770770,0.1174008574898577888441777655
1m,all,"[-0.01,0.0)bps",1484,-0.0005884217701986910259398753838,-1.710764696773397380746860877,-1.380170131902856236346497552,0.2121629454050648810018624611
