session,fill_id,order_id,side,price,quantity,placed_time_ms,fill_time_ms,time_from_place_to_fill_ms,mid_at_placed,mid_at_fill,quoted_distance,quoted_distance_bps,fill_edge,fill_edge_bps,pre_fill_mid_move,pre_fill_mid_move_bps,book_spread_at_fill,book_spread_bps_at_fill,volatility_bps_at_fill,quote_position_at_fill
2026-04-12 10:00,fill-000004,ord-000191,buy,71619.00000000,0.00008000,1775989670814,1775989675573,4759,71621.00500000,71621.00500000,2.00500000,0.2799458064013483195327962795,2.00500000,0.2799458064013483195327962795,0.00000000,0,0.01000000,0.001396238435916949224602475210,1.069632,behind_best
2026-04-12 10:00,fill-000005,ord-000213,buy,71600.75000000,0.00008000,1775989802714,1775989803625,911,71602.75500000,71602.75500000,2.00500000,0.2800171585576560566698865148,2.00500000,0.2800171585576560566698865148,0.00000000,0,0.01000000,0.001396594307020728462193947705,0.99634,behind_best
2026-04-12 10:00,fill-000006,ord-000246,sell,71558.93000000,0.00056000,1775990218714,1775990254260,35546,71556.92500000,71556.92500000,2.00500000,0.2801965008977118566791404186,2.00500000,0.2801965008977118566791404186,-0.00000000,-0,0.01000000,0.001397488782532228711616660442,0.387944,behind_best
2026-04-12 10:00,fill-000007,ord-000257,buy,71546.00000000,0.001,1775990309314,1775990324415,15101,71548.00500000,71546.00500000,2.00500000,0.2802314334271095329632181918,0.00500000,0.0006988510399707153460210671441,-2.00000000,-0.2795326019223037735293947050,0.01000000,0.001397702079941430692042134288,1.204677,at_best
2026-04-12 10:00,fill-000008,ord-000361,buy,71456.01000000,0.00016000,1775991200914,1775991202215,1301,71458.01500000,71456.84500000,2.00500000,0.2805843403290729528381106024,0.83500000,0.1168537457818071872610664521,-1.17000000,-0.1637325078229503016561543166,0.01000000,0.001399446057267151943246304815,2.652221,behind_best
2026-04-12 10:00,fill-000009,ord-000365,buy,71447.70000000,0.00007000,1775991210914,1775991212227,1313,71449.70500000,71449.70500000,2.00500000,0.2806169738559452414814028973,2.00500000,0.2806169738559452414814028973,0.00000000,0,0.01000000,0.001399585904518430132076822431,3.856443,behind_best
2026-04-12 10:00,fill-000010,ord-000376,sell,71402.01000000,0.00040000,1775991235914,1775991237645,1731,71400.00500000,71400.00500000,2.00500000,0.2808123052652447293245987868,2.00500000,0.2808123052652447293245987868,-0.00000000,-0,0.01000000,0.001400560126011195657479295695,4.1937,behind_best
2026-04-12 11:00,fill-000001,ord-000017,buy,71459.99000000,0.00028000,1775991665214,1775991684017,18803,71461.99500000,71460.54500000,2.00500000,0.2805687134819004143391182964,0.55500000,0.07766523471098632119304435755,-1.45000000,-0.2029050546377833420407588677,0.01000000,0.001399373598396149931406204641,1.153802,behind_best
2026-04-12 11:00,fill-000002,ord-000026,sell,71446.01000000,0.00040000,1775991706514,1775991707657,1143,71444.00500000,71444.00500000,2.00500000,0.2806393622529979947232801409,2.00500000,0.2806393622529979947232801409,-0.00000000,-0,0.01000000,0.001399697567346623415078703944,1.309427,behind_best
2026-04-12 11:00,fill-000003,ord-000036,sell,71478.00000000,0.001,1775991748214,1775991750240,2026,71475.99500000,71477.99500000,2.00500000,0.2805137585003188832838213725,0.00500000,0.0006995159839052564359142978199,-2.00000000,-0.2798142229429614795848592244,0.01000000,0.001399031967810512871828595640,1.525109,at_best
2026-04-12 11:00,fill-000004,ord-000117,buy,71470.00000000,0.00028000,1775992155214,1775992158800,3586,71472.00500000,71472.00500000,2.00500000,0.2805294184765069903943509070,2.00500000,0.2805294184765069903943509070,0.00000000,0,0.01000000,0.001399149219334199453338408514,0.000998,behind_best
2026-04-12 11:00,fill-000005,ord-000125,buy,71428.16000000,0.001,1775992178119,1775992190194,12075,71430.16500000,71430.16500000,2.00500000,0.2806937377227114063085252568,2.00500000,0.2806937377227114063085252568,0.00000000,0,0.01000000,0.001399968766696814994057482578,2.305023,behind_best
2026-04-12 11:00,fill-000006,ord-000174,sell,71490.00000000,0.00074000,1775992407914,1775992410120,2206,71487.99500000,71488.80500000,2.00500000,0.2804666713620937333604054779,1.19500000,0.1671590397965107963407697191,-0.81000000,-0.1133057375577535780657997192,0.01000000,0.001398820416707203316659160829,1.240556,behind_best
2026-04-12 11:00,fill-000007,ord-000180,sell,71521.45000000,0.00007000,1775992436614,1775992436999,385,71519.44500000,71519.44500000,2.00500000,0.2803433387940859999682603801,2.00500000,0.2803433387940859999682603801,-0.00000000,-0,0.01000000,0.001398221141117635910066136559,1.750199,behind_best
2026-04-12 11:00,fill-000008,ord-000330,sell,71485.11000000,0.001,1775993533314,1775993546806,13492,71483.10500000,71483.10500000,2.00500000,0.2804858574624031790448945943,2.00500000,0.2804858574624031790448945943,-0.00000000,-0,0.01000000,0.001398931957418469720922167553,2.196185,behind_best
2026-04-12 11:00,fill-000009,ord-000370,sell,71425.09000000,0.00024000,1775993721114,1775993736342,15228,71423.08500000,71423.08500000,2.00500000,0.2807215622231943635590649718,2.00500000,0.2807215622231943635590649718,-0.00000000,-0,0.01000000,0.001400107542260321015257181904,1.196969,behind_best
2026-04-12 11:00,fill-000010,ord-000417,buy,71465.02000000,0.001,1775994191014,1775994191536,522,71467.02500000,71465.02500000,2.00500000,0.2805489664639041571969730096,0.00500000,0.0006996429372269862075889569758,-2.00000000,-0.2798493431061388101715441492,0.01000000,0.001399285874453972415177913952,0.803923,at_best
2026-04-12 12:00,fill-000001,ord-000208,sell,71430.00000000,0.001,1775996538314,1775996540965,2651,71427.99500000,71429.99500000,2.00500000,0.2807022652672807069553051293,0.00500000,0.0006999860492780378887048781118,-2.00000000,-0.2800022596182351191574116003,0.01000000,0.001399972098556075777409756224,0.32494,at_best
