window,horizon,horizon_ms,signal,n,alpha,beta,r2,t_stat,hac_lags,x_mean,y_mean_bps,x_std,y_std_bps,predicted_drift_1std_bps
2026-04-13 07:00,10s,10000,raw_ofi,17988,-0.008776930664720293,0.057863509308080686,0.016105777179206138,11.722992097715984,12,-0.04953515955081163,-0.011643208830465943,2.959184232666912,1.3492298172232335,0.17122878439124747
2026-04-13 07:00,1m,60000,raw_ofi,17938,-0.04360241462869514,0.07485965927467991,0.004143359047854456,5.334256918809761,60,-0.048181206377522545,-0.04720924332155951,2.961716150410511,3.4444112183173514,0.2217130618880475
2026-04-13 07:00,5m,300000,raw_ofi,17698,-0.14290086113524922,0.07036566337872632,0.0007610468411446414,2.550625933537455,300,-0.044573381738049485,-0.1460372967102803,2.9572586452738774,7.543005121962628,0.2080894663571699
2026-04-13 12:00,1s,1000,normalized_ofi,17995,0.015629931886655967,0.1172694255384552,0.032054173870387115,15.071319414194456,12,-0.026582654403123577,0.012512599275514376,1.4335542191177708,0.9389806156828933,0.1681120797541697
2026-04-13 12:00,10s,10000,normalized_ofi,17986,0.10825784531476197,0.18905761387767483,0.007326568960571711,7.353190159004487,12,-0.02663124647266213,0.10322300540205222,1.4338524004356434,3.1670017194774482,0.2710807134791391
2026-04-13 12:00,1m,60000,normalized_ofi,17936,0.6244090187510863,0.28262316163662854,0.0024589214944261695,4.989631597201102,60,-0.027167297559148186,0.6167309112217968,1.4345045171883377,8.175933283828453,0.40542420202979335
2026-04-13 12:00,5m,300000,normalized_ofi,17696,3.031330215198027,0.24769647310314863,0.00041359750327851774,2.099480684826766,300,-0.02961322447687163,3.0239951239378944,1.4387909373983667,17.523811068678764,0.35638344072634853
2026-04-13 12:00,1s,1000,raw_ofi,17995,0.016006450753793526,0.023436629734780532,0.03075804188125353,16.079490215203354,12,-0.14907653181439262,0.012512599275514376,7.026528464228992,0.9389806156828933,0.16467814593703098
2026-04-13 12:00,10s,10000,raw_ofi,17986,0.10834165270030749,0.034283926895200593,0.005788013074980336,7.3208909751349625,12,-0.1493016629600798,0.10322300540205222,7.027850114231162,3.1670017194774482,0.2409422995467283
2026-04-13 12:00,1m,60000,raw_ofi,17936,0.6244902430253141,0.0509273566028641,0.00191618452442599,4.2557155853975095,60,-0.15236078055307736,0.6167309112217968,7.027564956438979,8.175933283828453,0.357895306586359
2026-04-13 12:00,5m,300000,raw_ofi,17696,3.030769743732928,0.04117625947998782,0.00027371171497303504,1.5772318796930245,300,-0.16452732425406866,3.0239951239378944,7.040903029890912,17.523811068678764,0.28991805013222066
2026-04-14 02:00,1s,1000,normalized_ofi,17997,0.003032124912915084,0.0843786865266309,0.022648715457237234,15.822335511892813,12,-0.01154032854363268,0.002058367148317571,0.6761048518287727,0.37907489677317696,0.057048839351594244
2026-04-14 02:00,10s,10000,normalized_ofi,17988,0.013129162856651418,0.21940099378522443,0.013518842826730992,11.720173547498765,12,-0.011438806450260039,0.01061947735374753,0.676093241295289,1.2757789302302727,0.14833552903165995
2026-04-14 02:00,1m,60000,normalized_ofi,17938,0.07149613321090131,0.25992462908763286,0.0031594875212311857,5.7993378447533015,60,-0.011226825712814551,0.06857800470166649,0.6765714315468513,3.128619633106852,0.1758575783961041
