horizon,side,bucket,n,avg_side_aligned_ofi,avg_mid_move_bps,median_mid_move_bps
1m,all,"[0.25,1.0)",51,0.5356844812404785655416215898,-0.4884194586427480138619348706,-0.9553499162270047308474826496
1m,all,>=1.0,33,1.943763505563451881438713464,-2.012371183066063074934927998,-1.325662951244676101493018055
1m,buy,<-1.0,344,-2.030155065828377250193770799,-1.552662869742069867123426895,-0.9293144846776597595241381815
1m,buy,"[-1.0,-0.25)",138,-0.6085726930993763548349744981,-1.832152251267698617277776240,-2.026159237126608023260614106
1m,buy,"[-0.25,0.0)",205,-0.08497120933093916508827175415,-2.242986680142104894750085477,-0.9516788752797912336914782272
1m,buy,"[0.0,0.25)",72,0.05031366615963347795447588139,-1.413610545197122123985795843,-1.934861038734362878524885462
1m,buy,"[0.25,1.0)",29,0.5115905455179779975151384031,-0.5305384463744735721427527128,-0.9553499162270047308474826496
1m,buy,>=1.0,14,1.987740292912631791196003891,-0.9511725794977960505970997607,2.222852979801843059936037528
1m,sell,<-1.0,338,-2.268967481675758100259448107,-1.753653346219191984946955989,-1.766180412734624500447971012
1m,sell,"[-1.0,-0.25)",146,-0.6179133625222960645246880196,-1.305422864490608804913461208,-1.378000216886834704771826694
1m,sell,"[-0.25,0.0)",178,-0.08430699115142168249117748438,-1.584124107812967053060192282,-1.402732109715453379414678177
1m,sell,"[0.0,0.25)",84,0.05408975290006799690144896282,-2.088539610349345247920367532,-1.223095930270992358701666210
1m,sell,"[0.25,1.0)",22,0.5674446692383202233947130614,-0.4328989748145643234008568049,-1.187231503206353787989796684
1m,sell,>=1.0,19,1.911359556990371947933341571,-2.794306996221628250762801437,-3.173273987216106140231989327
5m,all,<-1.0,633,-2.159423033563333769051803930,-2.253086105163402101336044009,-1.472770288262709075412320552
5m,all,"[-1.0,-0.25)",266,-0.6117297686573883324326121733,-1.781783934179942947702114321,-1.304492546475456515614625826
5m,all,"[-0.25,0.0)",362,-0.08396569235434127580944839075,-1.422995724102910723110033007,-1.056999189952791625435006473
5m,all,"[0.0,0.25)",144,0.05331888204124116446270476529,0.07118313346031016007615773889,-0.6669600333732191168234446105
5m,all,"[0.25,1.0)",45,0.5194831014761304022102801627,0.33989937394812947932879193,0.2333804644002500424151313709
5m,all,>=1.0,30,2.008265466939759884565372220,2.386301204933342434699600576,0.907918359943298443723570354
5m,buy,<-1.0,323,-2.033019466618621692115545543,-0.9635905558317947248576770356,-0.6549516873992348194319304682
5m,buy,"[-1.0,-0.25)",131,-0.6155733194211658332178826421,-1.935303069386688978668101360,-0.1047693396278580121932109597
5m,buy,"[-0.25,0.0)",194,-0.08542113367089426132275266402,-1.060618192287974140168185107,-0.4799211802450409621582865164
5m,buy,"[0.0,0.25)",65,0.05166269277423949648174416791,0.3417863506566037671295658168,-0.2403590938302808503054851207
5m,buy,"[0.25,1.0)",25,0.4875330074119555529048963756,4.077090465869757656150265768,3.534769606937797286016563286
5m,buy,>=1.0,12,2.145707860156633490068254758,2.646508183364015570451208699,2.103400108177780567870621396
5m,sell,<-1.0,310,-2.291127395250888610504744118,-3.596657274305689787150600581,-2.915625044921588584189005636
5m,sell,"[-1.0,-0.25)",135,-0.6080001008792042390780163823,-1.632813514090433836172156528,-1.623524534792741784465636505
5m,sell,"[-0.25,0.0)",168,-0.08228500416736937587146607542,-1.841455492984444634364309749,-1.250408888142242713529974778
5m,sell,"[0.0,0.25)",79,0.05468156941282481533311538335,-0.1514650832201845799044944754,-0.7485781808902141985045497616
5m,sell,"[0.25,1.0)",20,0.559420719056348963842009896,-4.331589490953905741698050364,-4.593674227323264575941030364
5m,sell,>=1.0,18,1.916637204795177480896783861,2.212829885979560344198528493,-2.051544481861264742778337498
