block_start,session_start,fill_id,order_id,side,fill_timestamp_ms,fill_price,quantity,is_maker,horizon,horizon_ms,interval_start_ms,book_timestamp_ms,future_timestamp_ms,mid_at_fill,future_mid,raw_ofi,normalized_ofi,side_aligned_ofi,side_normalized_mid_move_bps
2026-04-16 17:00,2026-04-16 18:00,fill-000008,ord-000300,sell,1776363245815,74388.29000000,0.00065000,True,1m,60000,1776363244815,1776363245814,1776363305914,74388.27500000,74419.00500000,5.65371000,1.048164459395448389527829044,-1.048164459395448389527829044,-4.131027369568658501625424168
2026-04-16 17:00,2026-04-16 18:00,fill-000008,ord-000300,sell,1776363245815,74388.29000000,0.00065000,True,5m,300000,1776363244815,1776363245814,1776363545914,74388.27500000,74458.84500000,5.65371000,1.048164459395448389527829044,-1.048164459395448389527829044,-9.486710103171501153911688368
2026-04-16 17:00,2026-04-16 18:00,fill-000009,ord-000382,sell,1776363487509,74379.78000000,0.00049000,True,1s,1000,1776363486509,1776363487414,1776363488514,74372.91500000,74399.69500000,5.36370000,1.945361446176411064372433513,-1.945361446176411064372433513,-3.600773211591881264839491635
2026-04-16 17:00,2026-04-16 18:00,fill-000009,ord-000382,sell,1776363487509,74379.78000000,0.00049000,True,10s,10000,1776363486509,1776363487414,1776363497514,74372.91500000,74427.99500000,5.36370000,1.945361446176411064372433513,-1.945361446176411064372433513,-7.405921900466050039856579509
2026-04-16 17:00,2026-04-16 18:00,fill-000009,ord-000382,sell,1776363487509,74379.78000000,0.00049000,True,30s,30000,1776363486509,1776363487414,1776363517514,74372.91500000,74473.74500000,5.36370000,1.945361446176411064372433513,-1.945361446176411064372433513,-13.55735485156121687579409789
2026-04-16 17:00,2026-04-16 18:00,fill-000009,ord-000382,sell,1776363487509,74379.78000000,0.00049000,True,1m,60000,1776363486509,1776363487414,1776363547514,74372.91500000,74458.84500000,5.36370000,1.945361446176411064372433513,-1.945361446176411064372433513,-11.55393734399142483523739792
2026-04-16 17:00,2026-04-16 18:00,fill-000009,ord-000382,sell,1776363487509,74379.78000000,0.00049000,True,5m,300000,1776363486509,1776363487414,1776363787514,74372.91500000,74411.61500000,5.36370000,1.945361446176411064372433513,-1.945361446176411064372433513,-5.203507217647714897284851616
2026-04-16 17:00,2026-04-16 18:00,fill-000010,ord-000384,sell,1776363491849,74401.70000000,0.00016000,True,1s,1000,1776363490849,1776363491814,1776363492914,74399.69500000,74427.99500000,-0.09539000,-0.03513450301013445696953401387,0.03513450301013445696953401387,-3.803779034309213229973590618
2026-04-16 17:00,2026-04-16 18:00,fill-000010,ord-000384,sell,1776363491849,74401.70000000,0.00016000,True,10s,10000,1776363490849,1776363491814,1776363501914,74399.69500000,74458.84500000,-0.09539000,-0.03513450301013445696953401387,0.03513450301013445696953401387,-7.950301409165723058407699118
2026-04-16 17:00,2026-04-16 18:00,fill-000010,ord-000384,sell,1776363491849,74401.70000000,0.00016000,True,30s,30000,1776363490849,1776363491814,1776363521914,74399.69500000,74473.74500000,-0.09539000,-0.03513450301013445696953401387,0.03513450301013445696953401387,-9.952997791187181614118176157
