execution_model_version,equal_timestamp_policy,snapshot_time_policy,trade_gap_policy,entry_latency_ms,entry_jitter_ms,cancel_latency_ms,cancel_jitter_ms,latency_seed,post_only,queue_cancellation_credit,legacy_queue_cancellation_mode,window,run_dir,row_type,endpoint_sensitive,current_maker_fee_bps,net_pnl,gross_before_fees,current_fees,fee_notional,break_even_maker_fee_bps,required_rebate_bps,lot_count,total_quantity,quantity_weighted_net_per_btc
event_driven_v2,market_data_before_private_actions_v1,post_response_proxy_depth_boundary_v1,pause_until_snapshot,10,0,10,0,42,True,0,none,2026-04-16T12:00:00,btcusdt_microprice_20260416_12_5h_5sessions_hs2.00_rq5000_qc0,full_matched_lots,False,2,1.13122840612000000000,1.6867158000000000,0.55548739388000000000,2777.4369694000000000,6.072921972966952039880196174,0,85,0.01867000,60.59070198821638993036957686
event_driven_v2,market_data_before_private_actions_v1,post_response_proxy_depth_boundary_v1,pause_until_snapshot,10,0,10,0,42,True,0,none,2026-04-16T12:00:00,btcusdt_microprice_20260416_12_5h_5sessions_hs2.00_rq5000_qc0,matched_tail_excluded_worst_5pct,False,2,1.29591660644000000000,1.8365928000000000,0.54067619356000000000,2703.3809678000000000,6.793688428954989108953066293,0,81,0.01817000,71.32177250632911392405063291
event_driven_v2,market_data_before_private_actions_v1,post_response_proxy_depth_boundary_v1,pause_until_snapshot,10,0,10,0,42,True,0,none,2026-04-16T12:00:00,btcusdt_microprice_20260416_12_5h_5sessions_hs2.00_rq5000_qc0,matched_body_only_ex_worst_best_5pct,False,2,0.77417663580000000000,1.2946060000000000,0.52042936420000000000,2602.1468210000000000,4.975145866298525820192372612,0,77,0.01749000,44.26395859348198970840480274
event_driven_v2,market_data_before_private_actions_v1,post_response_proxy_depth_boundary_v1,pause_until_snapshot,10,0,10,0,42,True,0,none,2026-04-16T17:00:00,btcusdt_microprice_20260416_17_5h_5sessions_hs2.00_rq5000_qc0,full_strategy,True,2,1.46996909410000000000,2.46211820000000000000,0.99214910590000000000,4960.7455295000000000,4.963201973087621970108152471,0,,0.06632000,22.16479333685162846803377563
event_driven_v2,market_data_before_private_actions_v1,post_response_proxy_depth_boundary_v1,pause_until_snapshot,10,0,10,0,42,True,0,none,2026-04-16T17:00:00,btcusdt_microprice_20260416_17_5h_5sessions_hs2.00_rq5000_qc0,full_matched_lots,False,2,1.74550238758000000000,2.5047203000000000,0.75921791242000000000,3796.0895621000000000,6.598159129349905492842270683,0,90,0.02537000,68.80182844225463145447378794
event_driven_v2,market_data_before_private_actions_v1,post_response_proxy_depth_boundary_v1,pause_until_snapshot,10,0,10,0,42,True,0,none,2026-04-16T17:00:00,btcusdt_microprice_20260416_17_5h_5sessions_hs2.00_rq5000_qc0,matched_tail_excluded_worst_5pct,False,2,2.05844698088000000000,2.7937042000000000,0.73525721912000000000,3676.2860956000000000,7.599256769878908441719809876,0,85,0.02457000,83.77887590069190069190069190
event_driven_v2,market_data_before_private_actions_v1,post_response_proxy_depth_boundary_v1,pause_until_snapshot,10,0,10,0,42,True,0,none,2026-04-16T17:00:00,btcusdt_microprice_20260416_17_5h_5sessions_hs2.00_rq5000_qc0,matched_body_only_ex_worst_best_5pct,False,2,1.19774983156000000000,1.8686992000000000,0.67094936844000000000,3354.7468422000000000,5.570313612023645293469590198,0,80,0.02243000,53.39945749264378065091395453
event_driven_v2,market_data_before_private_actions_v1,post_response_proxy_depth_boundary_v1,pause_until_snapshot,10,0,10,0,42,True,0,none,2026-04-17T05:00:00,btcusdt_microprice_20260417_05_5h_5sessions_hs2.00_rq5000_qc0,full_strategy,True,2,1.07931529286000000000,1.72327690000000000000,0.64396160714000000000,3219.8080357000000000,5.352110687634060307777372754,0,,0.04278000,25.22943648574100046750818139
event_driven_v2,market_data_before_private_actions_v1,post_response_proxy_depth_boundary_v1,pause_until_snapshot,10,0,10,0,42,True,0,none,2026-04-17T05:00:00,btcusdt_microprice_20260417_05_5h_5sessions_hs2.00_rq5000_qc0,full_matched_lots,False,2,0.74529859336000000000,1.2094364000000000,0.46413780664000000000,2320.6890332000000000,5.211540118894374926027034409,0,53,0.01542000,48.33324211154345006485084306
event_driven_v2,market_data_before_private_actions_v1,post_response_proxy_depth_boundary_v1,pause_until_snapshot,10,0,10,0,42,True,0,none,2026-04-17T05:00:00,btcusdt_microprice_20260417_05_5h_5sessions_hs2.00_rq5000_qc0,matched_tail_excluded_worst_5pct,False,2,0.98457146080000000000,1.4092680000000000,0.42469653920000000000,2123.4826960000000000,6.636588104318604722927301876,0,50,0.01410000,69.82776317730496453900709220
