horizon,side,bucket,n,avg_side_aligned_skew_bps,avg_mid_move_bps,median_mid_move_bps,avg_fill_edge_bps
5s,all,"[-0.01,0.0)bps",856,-0.0005806018149812999221918027536,-1.472947495879080690015619978,-1.281590615553328311016584072,0.2227171575971435241462564811
5s,all,"[0.0,0.01)bps",66,0.0002860629948378529320455839906,-1.165809352259889825077718396,-0.814946853056461771894343565,0.3404848400384607822215111680
5s,all,"[0.01,0.05)bps",0,,,,
5s,all,>=0.05bps,0,,,,
5s,buy,<-0.05bps,1,-0.07129792053199356442535486451,-1.984071823400007080256305278,-1.984071823400007080256305278,0.1713395358245301813258973308
5s,buy,"[-0.05,-0.01)bps",0,,,,
5s,buy,"[-0.01,0.0)bps",416,-0.0005868331241204659986968277579,-1.542574515427570693386306897,-1.306983132346984660517002668,0.2225610289751889673408085450
5s,buy,"[0.0,0.01)bps",25,0.0003111709283393719713290981565,-0.785656983875681368072104784,-0.7506028527815173463192047376,0.3240316385506651546985597252
5s,buy,"[0.01,0.05)bps",0,,,,
5s,buy,>=0.05bps,0,,,,
5s,sell,<-0.05bps,0,,,,
5s,sell,"[-0.05,-0.01)bps",3,-0.03125491281372363884628850032,-1.135848830183844973736227172,0.1680230527628390615192404398,0.07245306864689731850844532457
5s,sell,"[-0.01,0.0)bps",440,-0.0005747103954315429044052336580,-1.407118313760508323192425068,-1.257714720377623901644777920,0.2228647701124460142168618038
5s,sell,"[0.0,0.01)bps",41,0.0002707532792881462007751485246,-1.397609576884407176910409623,-0.8792908533314061974694823920,0.3505172799700434819306279017
5s,sell,"[0.01,0.05)bps",0,,,,
5s,sell,>=0.05bps,0,,,,
30s,all,<-0.05bps,1,-0.07129792053199356442535486451,-1.814732359978097873809698578,-1.814732359978097873809698578,0.1713395358245301813258973308
30s,all,"[-0.05,-0.01)bps",3,-0.03125491281372363884628850032,-2.861919223275452601739391016,-4.075534229973490699819594482,0.07245306864689731850844532457
30s,all,"[-0.01,0.0)bps",851,-0.0005815168515162418134523349134,-2.070714502718370244223565274,-1.748930301881195692112790990,0.2228132795220245681148281073
30s,all,"[0.0,0.01)bps",66,0.0002860629948378529320455839906,-1.296583316387315054869279007,-0.02120844209250607376935135775,0.3404848400384607822215111680
30s,all,"[0.01,0.05)bps",0,,,,
30s,all,>=0.05bps,0,,,,
30s,buy,<-0.05bps,1,-0.07129792053199356442535486451,-1.814732359978097873809698578,-1.814732359978097873809698578,0.1713395358245301813258973308
30s,buy,"[-0.05,-0.01)bps",0,,,,
30s,buy,"[-0.01,0.0)bps",413,-0.0005865434086215041509902611516,-2.200929624161477679122028886,-1.433434515429150107672876739,0.2228517741208904017376674742
30s,buy,"[0.0,0.01)bps",25,0.0003111709283393719713290981565,0.4797223316199080873922223444,1.579486267824282612239206696,0.3240316385506651546985597252
30s,buy,"[0.01,0.05)bps",0,,,,
30s,buy,>=0.05bps,0,,,,
30s,sell,<-0.05bps,0,,,,
30s,sell,"[-0.05,-0.01)bps",3,-0.03125491281372363884628850032,-2.861919223275452601739391016,-4.075534229973490699819594482,0.07245306864689731850844532457
30s,sell,"[-0.01,0.0)bps",438,-0.0005767771983553437645866647384,-1.947931751220645653782776527,-2.026446169957383878943373818,0.2227769821034592957718311712
30s,sell,"[0.0,0.01)bps",41,0.0002707532792881462007751485246,-2.379696516391719409906779831,-1.430341399235506719613495943,0.3505172799700434819306279017
