queue_cancellation_mode,window,run_dir,row_type,endpoint_sensitive,current_maker_fee_bps,net_pnl,gross_before_fees,current_fees,fee_notional,break_even_maker_fee_bps,required_rebate_bps,lot_count,total_quantity,quantity_weighted_net_per_btc
proportional,2026-04-15T12:00:00,btcusdt_microprice_20260415_12_5h_5sessions_hs2.00_rq5000,matched_tail_excluded_worst_5pct,False,2,0.9548016153792165329745602771,1.693572233633124755886245102,0.7387706182539082229116848271,3693.853091269541114558424136,4.584839168714911109402297310,0,107,0.02493862457895709408759172524,38.28605753121070034314872677
proportional,2026-04-15T12:00:00,btcusdt_microprice_20260415_12_5h_5sessions_hs2.00_rq5000,matched_body_only_ex_worst_best_5pct,False,2,0.0958443043100354883498104905,0.7674779258698830332373916300,0.6716336215598475448875811413,3358.168107799237724437905706,2.285406511030344685803559794,0,101,0.02267426593914615388402312063,4.227008034891413236313377433
proportional,2026-04-16T12:00:00,btcusdt_microprice_20260416_12_5h_5sessions_hs2.00_rq5000,full_strategy,True,2,1.973867155882097032543890581,3.078022200991316423428156040,1.104155045109219390884265459,5520.775225546096954421327295,5.575344177659123182109127382,0,,0.07429731143579019532811010448,26.56714109484254989407348576
proportional,2026-04-16T12:00:00,btcusdt_microprice_20260416_12_5h_5sessions_hs2.00_rq5000,full_matched_lots,False,2,0.9125815891260463586205431525,1.843618119527661845613499124,0.9310365304016154869929559689,4655.182652008077434964779844,3.960356139264249203724416543,0,135,0.03132765703504216749132606266,29.13022151976639226691796294
proportional,2026-04-16T12:00:00,btcusdt_microprice_20260416_12_5h_5sessions_hs2.00_rq5000,matched_tail_excluded_worst_5pct,False,2,1.562590605853769126883202877,2.435948180323846240226140870,0.8733575744700771133429379917,4366.787872350385566714689958,5.578352444706040490621937526,0,128,0.02937456083360666409727578772,53.19536910543527942130925188
proportional,2026-04-16T12:00:00,btcusdt_microprice_20260416_12_5h_5sessions_hs2.00_rq5000,matched_body_only_ex_worst_best_5pct,False,2,0.6933305795820779071670768731,1.497593323158050901767414155,0.8042627435759729946003372817,4021.313717879864973001686408,3.724139493268927946954943372,0,121,0.02705431345399757899507398923,25.62735812021245427857925304
proportional,2026-04-16T17:00:00,btcusdt_microprice_20260416_17_5h_5sessions_hs2.00_rq5000,full_strategy,True,2,1.799668964080382563429156309,2.871742164376816964086428620,1.072073200296434400657272311,5360.366001482172003286361555,5.357362097257470390798269738,0,,0.07167626058561944956916041794,25.10829875019252496884423633
proportional,2026-04-16T17:00:00,btcusdt_microprice_20260416_17_5h_5sessions_hs2.00_rq5000,full_matched_lots,False,2,0.8537138544463947468004978764,1.696145859746775036040795622,0.8424320053003802892402977462,4212.160026501901446201488731,4.026783999361448203342175370,0,112,0.02815037422690049641138318681,30.32690960216741359974714145
proportional,2026-04-16T17:00:00,btcusdt_microprice_20260416_17_5h_5sessions_hs2.00_rq5000,matched_tail_excluded_worst_5pct,False,2,1.316715596232341814248702520,2.109845592530242273060315607,0.7931299962979004588116130880,3965.649981489502294058065440,5.320302100231705408157602263,0,106,0.02650079158450939473414396640,49.68589681683344240623824160
proportional,2026-04-16T17:00:00,btcusdt_microprice_20260416_17_5h_5sessions_hs2.00_rq5000,matched_body_only_ex_worst_best_5pct,False,2,0.5004645374654077320896215246,1.233490940693675504254995676,0.7330264032282677721653741519,3665.132016141338860826870760,3.365474791252671393382287792,0,100,0.02450079158450939473414396640,20.42646400787417917602368511
proportional,2026-04-17T12:00:00,btcusdt_microprice_20260417_12_5h_5sessions_hs2.00_rq5000,full_strategy,True,2,-7.219022619795179517488824403,-6.128955068411823152723240930,1.090067551383356364765583473,5450.337756916781823827917365,-11.24509221586100459210921623,11.24509221586100459210921623,,0.07075433993205557358127827691,-102.0293967370412663963128056
proportional,2026-04-17T12:00:00,btcusdt_microprice_20260417_12_5h_5sessions_hs2.00_rq5000,full_matched_lots,False,2,0.6164418689178726967030715241,1.415909977349165194526474027,0.7994681084312924978234025039,3997.340542156462489117012520,3.542129979712256767705473995,0,109,0.02596348220665153677557011909,23.74264992697888527311195053
proportional,2026-04-17T12:00:00,btcusdt_microprice_20260417_12_5h_5sessions_hs2.00_rq5000,matched_tail_excluded_worst_5pct,False,2,0.9752604976771947306013766109,1.759295916332216041984101146,0.7840354186550213113827245378,3920.177093275106556913622689,4.487797042001525217189679474,0,104,0.02546585508800746897895994960,38.29678973302844912052328441
proportional,2026-04-17T12:00:00,btcusdt_microprice_20260417_12_5h_5sessions_hs2.00_rq5000,matched_body_only_ex_worst_best_5pct,False,2,0.3612679772958380211960455403,1.108239131753943678105994453,0.7469711544581056569099489164,3734.855772290528284549744582,2.967287625873376241675462544,0,99,0.02425585508800746897895994961,14.89405242507634401776956471
none,2026-04-13T12:00:00,btcusdt_microprice_20260413_12_5h_5sessions_hs2.00_rq5000_qnone,full_strategy,True,2,-9.98173404982000000000,-9.08007395000000000000,0.90166009982000000000,4508.3004991000000000,-20.14079130664131909041493290,20.14079130664131909041493290,,0.06289000,-158.7173485422165686118619812
none,2026-04-13T12:00:00,btcusdt_microprice_20260413_12_5h_5sessions_hs2.00_rq5000_qnone,full_matched_lots,False,2,-1.86603141838000000000,-1.1805677000000000,0.68546371838000000000,3427.3185919000000000,-3.444581145126428361671444764,3.444581145126428361671444764,88,0.02390000,-78.07662838410041841004184100
