window,horizon,label,n,avg_microprice_deviation_bps,avg_forward_drift_bps,median_forward_drift_bps
2026-04-14 12:00,1s,"[-0.5,-0.1)bps",2,-0.1906671401764487854246180737,-0.5371746366753596398465417855,-0.5371746366753596398465417855
2026-04-14 12:00,1s,"[-0.1,0.1)bps",17993,-0.000003563600825453653378012696065,0.002906838673453324162766318374,0
2026-04-14 12:00,1s,"[0.1,0.5)bps",2,0.1814691271095741643510516061,0.841711120580430212064425222,0.841711120580430212064425222
2026-04-14 12:00,1s,>=0.5bps,1,1.405027568559677817720654827,4.213056584585601227308441803,4.213056584585601227308441803
2026-04-14 12:00,10s,<-0.5bps,0,,,
2026-04-14 12:00,10s,"[-0.5,-0.1)bps",2,-0.1906671401764487854246180737,-5.01897048213600050972191321,-5.01897048213600050972191321
2026-04-14 12:00,10s,"[-0.1,0.1)bps",17984,-0.000003845393642604508024204809515,0.02077349861732889889742514908,0
2026-04-14 12:00,10s,"[0.1,0.5)bps",2,0.1814691271095741643510516061,3.924898626699095127983598118,3.924898626699095127983598118
2026-04-14 12:00,10s,>=0.5bps,1,1.405027568559677817720654827,4.261190522080073345424311021,4.261190522080073345424311021
2026-04-14 12:00,1m,<-0.5bps,0,,,
2026-04-14 12:00,1m,"[-0.5,-0.1)bps",2,-0.1906671401764487854246180737,-0.8606651275334249048788489015,-0.8606651275334249048788489015
2026-04-14 12:00,1m,"[-0.1,0.1)bps",17934,-0.000004295456636210763427196222687,0.09513796868550506791595265479,0.3885187226867768119132280096
2026-04-14 12:00,1m,"[0.1,0.5)bps",2,0.1814691271095741643510516061,0.1218558455484825652527299165,0.1218558455484825652527299165
2026-04-14 12:00,1m,>=0.5bps,1,1.405027568559677817720654827,1.163236822783076187800172761,1.163236822783076187800172761
2026-04-14 12:00,5m,<-0.5bps,0,,,
2026-04-14 12:00,5m,"[-0.5,-0.1)bps",2,-0.1906671401764487854246180737,4.71240243580225248686823519,4.71240243580225248686823519
2026-04-14 12:00,5m,"[-0.1,0.1)bps",17694,-0.000003787533834017124516846054381,0.7211842283137280084151728970,2.021660552701549838875806083
2026-04-14 12:00,5m,"[0.1,0.5)bps",2,0.1814691271095741643510516061,-8.84756652469977172758696862,-8.84756652469977172758696862
2026-04-14 12:00,5m,>=0.5bps,1,1.405027568559677817720654827,9.039820872225721960594216132,9.039820872225721960594216132
2026-04-15 12:00,1s,<-0.5bps,0,,,
2026-04-15 12:00,1s,"[-0.5,-0.1)bps",2,-0.1724298671613186431071289916,-1.351892363021312599775434055,-1.351892363021312599775434055
2026-04-15 12:00,1s,"[-0.1,0.1)bps",17995,-0.000009372926147639894370961862095,-0.002081191751770517554489349218,0
2026-04-15 12:00,1s,"[0.1,0.5)bps",1,0.1613087679504369119741263728,1.601588840950006863469885437,1.601588840950006863469885437
2026-04-15 12:00,1s,>=0.5bps,0,,,
2026-04-15 12:00,10s,<-0.5bps,0,,,
2026-04-15 12:00,10s,"[-0.5,-0.1)bps",2,-0.1724298671613186431071289916,-2.325589767910432539100180405,-2.325589767910432539100180405
2026-04-15 12:00,10s,"[-0.1,0.1)bps",17986,-0.000009678564304680889983892893995,-0.01855998628534763366139991550,0
2026-04-15 12:00,10s,"[0.1,0.5)bps",1,0.1613087679504369119741263728,-1.193764363743512704306390157,-1.193764363743512704306390157
2026-04-15 12:00,10s,>=0.5bps,0,,,
2026-04-15 12:00,1m,<-0.5bps,0,,,
2026-04-15 12:00,1m,"[-0.5,-0.1)bps",2,-0.1724298671613186431071289916,1.011235776873285141713700764,1.011235776873285141713700764
2026-04-15 12:00,1m,"[-0.1,0.1)bps",17936,-0.000009934184033157636884414976762,-0.1069442041612791402982515734,0
2026-04-15 12:00,1m,"[0.1,0.5)bps",1,0.1613087679504369119741263728,6.854692206291934940112258414,6.854692206291934940112258414
2026-04-15 12:00,1m,>=0.5bps,0,,,
2026-04-15 12:00,5m,<-0.5bps,0,,,
2026-04-15 12:00,5m,"[-0.5,-0.1)bps",2,-0.1724298671613186431071289916,3.568805879365546299708573384,3.568805879365546299708573384
2026-04-15 12:00,5m,"[-0.1,0.1)bps",17696,-0.00001116280622474665394263958396,-0.6364985938404277407909124022,0.1563052065270224949767888328
2026-04-15 12:00,5m,"[0.1,0.5)bps",1,0.1613087679504369119741263728,-21.47155360126906334668733427,-21.47155360126906334668733427
2026-04-15 12:00,5m,>=0.5bps,0,,,
2026-04-16 12:00,1s,<-0.5bps,0,,,
2026-04-16 12:00,1s,"[-0.5,-0.1)bps",3,-0.1735739489834047387287652214,-4.206676527545537341918627327,-3.001643365787526976590645182
2026-04-16 12:00,1s,"[-0.1,0.1)bps",17986,-0.00005102584983165997868907999272,-0.002824707117588882250442444696,0
2026-04-16 12:00,1s,"[0.1,0.5)bps",6,0.219656284528523047057665275,1.629481743946785198579877311,1.101889944037729898471307475
2026-04-16 12:00,1s,>=0.5bps,1,0.7861855731561455952652752823,-0.0006782608577693763866195411023,-0.0006782608577693763866195411023
2026-04-16 12:00,10s,<-0.5bps,0,,,
2026-04-16 12:00,10s,"[-0.5,-0.1)bps",3,-0.1735739489834047387287652214,-5.01524041029304322051468471,-0.9588960254506760386755635738
2026-04-16 12:00,10s,"[-0.1,0.1)bps",17977,-0.00005079659011362692735207310763,-0.02849808348775471861532944917,0
2026-04-16 12:00,10s,"[0.1,0.5)bps",6,0.219656284528523047057665275,0.9585947800196446559839040178,0.5387223854414508453482292755
2026-04-16 12:00,10s,>=0.5bps,1,0.7861855731561455952652752823,-3.115252119734745743743552283,-3.115252119734745743743552283
2026-04-16 12:00,1m,<-0.5bps,0,,,
2026-04-16 12:00,1m,"[-0.5,-0.1)bps",3,-0.1735739489834047387287652214,-11.86917759043808146073637646,-5.708555233667409901633702126
2026-04-16 12:00,1m,"[-0.1,0.1)bps",17927,-0.00005016113122847385509838874441,-0.1828246724630635647697624284,0
2026-04-16 12:00,1m,"[0.1,0.5)bps",6,0.219656284528523047057665275,8.84711757982762216157450194,4.835759494216513882314546942
2026-04-16 12:00,1m,>=0.5bps,1,0.7861855731561455952652752823,-3.181721683796144629632267311,-3.181721683796144629632267311
2026-04-16 12:00,5m,<-0.5bps,0,,,
2026-04-16 12:00,5m,"[-0.5,-0.1)bps",3,-0.1735739489834047387287652214,-12.67038816861748661093059628,-5.961182231873961945817349186
2026-04-16 12:00,5m,"[-0.1,0.1)bps",17687,-0.00004863334707321073081553811907,-1.112724754367865770933004557,0.4677531450870406176593163526
2026-04-16 12:00,5m,"[0.1,0.5)bps",6,0.219656284528523047057665275,9.827218147212121262908123082,6.112459096660037592248054655
2026-04-16 12:00,5m,>=0.5bps,1,0.7861855731561455952652752823,-0.7128521615156145823371376985,-0.7128521615156145823371376985
2026-04-16 17:00,1s,<-0.5bps,0,,,
2026-04-16 17:00,1s,"[-0.5,-0.1)bps",1,-0.1138458056849222483718833860,-0.7521994003991387216927511297,-0.7521994003991387216927511297
2026-04-16 17:00,1s,"[-0.1,0.1)bps",17996,-0.00006947265004329174805596857240,0.006571059720561184138571830840,0
2026-04-16 17:00,1s,"[0.1,0.5)bps",1,0.1503352147908554990142131211,2.850713995748344689841651985,2.850713995748344689841651985
2026-04-16 17:00,1s,>=0.5bps,0,,,
2026-04-16 17:00,10s,<-0.5bps,0,,,
2026-04-16 17:00,10s,"[-0.5,-0.1)bps",1,-0.1138458056849222483718833860,-0.7521994003991387216927511297,-0.7521994003991387216927511297
