horizon,side,bucket,n,avg_side_aligned_ofi,avg_mid_move_bps,median_mid_move_bps
10s,all,<-1.0,820,-2.134520154966598791108027004,-1.461355580032322616165061901,-1.159685183164271345222714986
10s,all,"[-1.0,-0.25)",404,-0.6063374611307460512414946760,-1.527965207120471675112539161,-1.344019759826403889269717505
10s,all,"[-0.25,0.0)",490,-0.08565267345029973384959179704,-1.551066444248027857982460285,-1.250362438500920501351157178
10s,all,"[0.0,0.25)",198,0.04944714723194975508552989165,-1.370149885735766824847806088,-1.139682024896985512002833155
10s,all,"[0.25,1.0)",66,0.5257248943177716318369047021,-0.3997170543674878982948530059,-0.2912517655967661069654251026
10s,all,>=1.0,49,2.026810082797527253261202832,-1.259159139004028714904052167,-0.008346780344250435128092821205
10s,buy,<-1.0,409,-2.000768660372028347147893412,-1.707735090059183044779718917,-1.275207501891804927709644713
10s,buy,"[-1.0,-0.25)",186,-0.6101813566367012748584497651,-1.386618266079921451097943102,-1.200237851153941383840595476
10s,buy,"[-0.25,0.0)",260,-0.08994392775347890685489899785,-1.588607769496589786058872559,-1.226085631700299693439356228
10s,buy,"[0.0,0.25)",97,0.04507797828041160916691613414,-1.149543456736223251952191333,-1.345713810677310545195091832
10s,buy,"[0.25,1.0)",34,0.5078076446129620929791012318,0.3044380953366093387495744541,-0.000707213528485606189136761730
10s,buy,>=1.0,22,2.260693335138134054885930225,-1.201440029258392910037299707,-0.2911037282282609848262012808
10s,sell,<-1.0,411,-2.267620790706694439720422714,-1.216174997061553965791838737,-1.017644711868343823937222745
10s,sell,"[-1.0,-0.25)",218,-0.6030578071669493925591384972,-1.648563973329381499271781670,-1.548266308340443397265587280
10s,sell,"[-0.25,0.0)",230,-0.08080169032496675566967930913,-1.508628424401827417548255104,-1.293148670394678669937246598
10s,sell,"[0.0,0.25)",101,0.05364327978936757839350548052,-1.582019426458100751292109360,-1.014800333342471451702709617
10s,sell,"[0.25,1.0)",32,0.5447619721291317668733208884,-1.147881900928091212654557181,-0.8714703803719101732739328135
10s,sell,>=1.0,27,1.836238543853329118604017548,-1.306189524722694926276961578,-0.008346780344250435128092821205
30s,all,<-1.0,817,-2.136907405429735284784332458,-1.810256580503004937146672928,-1.476905934099976925846314129
30s,all,"[-1.0,-0.25)",402,-0.6062453572901126112388708129,-1.746165504015082208735668470,-1.531872269543659915541524674
30s,all,"[-0.25,0.0)",488,-0.08586710974915097531726004502,-1.674139516240007155733843733,-1.380457297831406887062206967
30s,all,"[0.0,0.25)",196,0.04863587637874852873040382655,-1.874604559202172942829097290,-1.424394331739593424510131295
30s,all,"[0.25,1.0)",66,0.5257248943177716318369047021,-0.2833925359523978830438922923,-0.5570630079894877141630951755
30s,all,>=1.0,48,2.036003695424110372425050070,-0.7329183036270624827229366025,-1.171463695262509903445369098
30s,buy,<-1.0,406,-2.004584249398133775723413501,-1.825766043068754115689892521,-1.319468083829530298647228056
30s,buy,"[-1.0,-0.25)",185,-0.6097698625497108158065141238,-1.713639792038277538883560012,-1.435185274974053739617976703
30s,buy,"[-0.25,0.0)",259,-0.09011072978904635162741285568,-1.839060102864783998826130422,-1.385835965673352431689779681
30s,buy,"[0.0,0.25)",95,0.04331221591061669698331680496,-1.915018535306525152531126657,-1.756806298069991136052626825
30s,buy,"[0.25,1.0)",34,0.5078076446129620929791012318,0.6862490564576794616887222474,-0.1241066997547265612323055221
30s,buy,>=1.0,22,2.260693335138134054885930225,1.240356629132078082124203193,1.725966802867653808808948512
30s,sell,<-1.0,411,-2.267620790706694439720422714,-1.794935797530513047880134853,-1.672786625956351052537968448
30s,sell,"[-1.0,-0.25)",217,-0.6032405947416072294646126889,-1.773894797635860383494378447,-2.013414090822403080351923659
30s,sell,"[-0.25,0.0)",229,-0.08106755695293742743809158231,-1.487613612590150376865274942,-1.364973353273619871231274815
30s,sell,"[0.0,0.25)",101,0.05364327978936757839350548052,-1.836591413361445616871742937,-1.116836095063523762205362823
30s,sell,"[0.25,1.0)",32,0.5447619721291317668733208884,-1.313636727888105061822295241,-0.911469062776586411103149595
30s,sell,>=1.0,26,1.845881692589167256496613016,-2.402612477500181422208977968,-3.060486126225159546967367775
1m,all,<-1.0,814,-2.140562143391461100368860087,-1.803374165522338942044273706,-1.361591622557237238915309367
1m,all,"[-1.0,-0.25)",401,-0.6052636333049132899448597222,-1.738487861366184994406574468,-1.690561098543000463668145798
1m,all,"[-0.25,0.0)",484,-0.08549862376289349428745483721,-1.989233457462190151792629726,-1.384760670762522915888687190
1m,all,"[0.0,0.25)",195,0.04873066417187383849306222108,-1.343891049038666942845944696,-1.320131926063899269709619161
1m,all,"[0.25,1.0)",64,0.5274575351572063458247286516,-0.4728845192129322121092032939,-0.8496908979023577890878940875
1m,all,>=1.0,48,2.036003695424110372425050070,-0.7135381775509278930695864517,-0.4147235352826302813376231532
1m,buy,<-1.0,406,-2.004584249398133775723413501,-1.605873056775095547154977379,-0.9169184136194151641368314135
1m,buy,"[-1.0,-0.25)",184,-0.6076494994366383721416727973,-1.654513789560871658146275561,-1.759593987181276840470877606
1m,buy,"[-0.25,0.0)",256,-0.08927853360471047262084880051,-2.321828471571013137949187907,-1.519918637108982292486188822
1m,buy,"[0.0,0.25)",95,0.04331221591061669698331680496,-0.8238178923940094710384557244,-1.851713280267085341614620460
1m,buy,"[0.25,1.0)",34,0.5078076446129620929791012318,-0.5347020124091443885862364944,-0.2559938295045554902618180840
1m,buy,>=1.0,22,2.260693335138134054885930225,1.423675307963107491288195981,2.222852979801843059936037528
1m,sell,<-1.0,408,-2.275873479080899565579770169,-1.999907131579644869311563676,-1.947754836443513299110531365
1m,sell,"[-1.0,-0.25)",217,-0.6032405947416072294646126889,-1.809691682620459897042035291,-1.639377253266201770834983909
1m,sell,"[-0.25,0.0)",228,-0.08125451446681829054469670298,-1.615793441620704693651932823,-1.337112616207974088671193992
1m,sell,"[0.0,0.25)",100,0.05387819002006812292732036639,-1.837960547851091541063059218,-1.223095930270992358701666210
1m,sell,"[0.25,1.0)",30,0.5497274111073498323831063933,-0.4028246935905584121018990013,-1.077685548122583241207519106
1m,sell,>=1.0,26,1.845881692589167256496613016,-2.521949588370496295218479279,-2.787359115066687770985304818
5m,all,<-1.0,758,-2.146445661293288085253307897,-1.746203965507373558476363966,-1.204798777704471296897243828
5m,all,"[-1.0,-0.25)",377,-0.6074406488659448241061723790,-1.764098417477315292288220328,-0.6865230702447104882703902798
5m,all,"[-0.25,0.0)",457,-0.08574626098360682691247075923,-1.390038862461947666844607064,-1.083001081175798454715648331
5m,all,"[0.0,0.25)",180,0.04944548193701429745344486534,0.1012296094767538753997204198,-1.415309267884299768417243684
5m,all,"[0.25,1.0)",59,0.5181574534513061078913408373,-0.2926611262219274390137473622,-0.1412416234312197184394437430
