session,fill_id,order_id,side,price,quantity,placed_time_ms,fill_time_ms,time_from_place_to_fill_ms,mid_at_placed,mid_at_fill,quoted_distance,quoted_distance_bps,fill_edge,fill_edge_bps,pre_fill_mid_move,pre_fill_mid_move_bps,book_spread_at_fill,book_spread_bps_at_fill,volatility_bps_at_fill,quote_position_at_fill
2026-04-13 02:00,fill-000011,ord-000529,buy,71196.88000000,0.0001615262321144674085850556454,1776047777514,1776047781215,3701,71198.88500000,71197.57500000,2.00500000,0.2816055335698023922706092940,0.69500000,0.09761568424205459244925125610,-1.31000000,-0.1839916453747836079174554489,0.01000000,0.001404542219310138020852536059,0.983922,behind_best
2026-04-13 02:00,fill-000012,ord-000565,buy,71088.00000000,0.00016000,1776047888914,1776047888927,13,71090.00500000,71090.00500000,2.00500000,0.2820368348546325183125250870,2.00500000,0.2820368348546325183125250870,0.00000000,0,0.01000000,0.001406667505509389118765711157,2.693691,behind_best
2026-04-13 02:00,fill-000013,ord-000630,sell,71065.77000000,0.00008000,1776048073614,1776048094389,20775,71063.76500000,71063.76500000,2.00500000,0.2821409757842129529725873657,2.00500000,0.2821409757842129529725873657,-0.00000000,-0,0.01000000,0.001407186911641959865199936986,1.143384,behind_best
2026-04-13 03:00,fill-000001,ord-000081,buy,71082.24000000,0.001,1776049510814,1776049514494,3680,71084.24500000,71083.85500000,2.00500000,0.2820596884724596849836415932,1.61500000,0.2271964569169750289992010141,-0.39000000,-0.05486447805698717064519711787,0.01000000,0.001406789206916254049530656434,6.290286,behind_best
2026-04-13 03:00,fill-000002,ord-000159,buy,71055.99000000,0.0004006442953020134228187919457,1776049818014,1776049836709,18695,71057.99500000,71057.99500000,2.00500000,0.2821638859919985076978318907,2.00500000,0.2821638859919985076978318907,0.00000000,0,0.01000000,0.001407301177017448916198662796,1.369781,behind_best
2026-04-13 03:00,fill-000003,ord-000336,sell,71081.24000000,0.001,1776050521014,1776050522777,1763,71079.23500000,71081.23500000,2.00500000,0.2820795693707170596307064926,0.00500000,0.0007034205300456583231847336361,-2.00000000,-0.2813761290480968175867396434,0.01000000,0.001406841060091316646369467272,1.155694,at_best
2026-04-13 03:00,fill-000004,ord-000519,buy,71021.02000000,0.00024000,1776051309314,1776051313766,4452,71023.02500000,71021.64500000,2.00500000,0.2823028165865928690026931407,0.62500000,0.08800134099963468883324231648,-1.38000000,-0.1943031854810464634532252041,0.01000000,0.001408021455994155021331877064,0.990651,behind_best
2026-04-13 03:00,fill-000005,ord-000533,buy,71017.75000000,0.00008000,1776051391014,1776051391741,727,71019.75500000,71017.93500000,2.00500000,0.2823158148039232182651151078,0.18500000,0.02604975771261161001090780801,-1.82000000,-0.2562667246599203278017503721,0.01000000,0.001408095011492519460049070703,0.508001,behind_best
2026-04-13 03:00,fill-000006,ord-000712,sell,70952.00000000,0.001,1776052151714,1776052174681,22967,70949.99500000,70949.99500000,2.00500000,0.2825933955315994032134885986,2.00500000,0.2825933955315994032134885986,-0.00000000,-0,0.01000000,0.001409443369234909741713160093,0.205491,behind_best
2026-04-13 03:00,fill-000007,ord-000764,sell,70984.18000000,0.00007995363662706461895102868734,1776052493014,1776052563516,70502,70982.17500000,70982.30500000,2.00500000,0.2824652808962250029672942538,1.87500000,0.2641503400037516392289599499,-0.13000000,-0.01831445711546596029214376708,0.01000000,0.001408801813353342075887786400,0.000748,behind_best
2026-04-13 03:00,fill-000008,ord-000768,sell,70987.43000000,0.00016000,1776052568514,1776052568610,96,70985.42500000,70985.42500000,2.00500000,0.2824523484926659240259532150,2.00500000,0.2824523484926659240259532150,-0.00000000,-0,0.01000000,0.001408739892731500867959866409,0.126644,behind_best
2026-04-13 04:00,fill-000001,ord-000036,sell,70980.30000000,0.00010000,1776052981014,1776052988145,7131,70978.29500000,70978.29500000,2.00500000,0.2824807217474017937455386890,2.00500000,0.2824807217474017937455386890,-0.00000000,-0,0.01000000,0.001408881405223949095987724135,0.481107,behind_best
2026-04-13 04:00,fill-000002,ord-000091,buy,70941.15000000,0.00008000,1776053266924,1776053267051,127,70943.15500000,70941.41500000,2.00500000,0.2826206418364111379032973653,0.26500000,0.03735476660565623056715178292,-1.74000000,-0.2452667914191298653125872397,0.01000000,0.001409613834175706813854784261,0.207776,behind_best
2026-04-13 04:00,fill-000003,ord-000531,buy,70953.29000000,0.00008000,1776055810215,1776055811439,1224,70955.29500000,70955.29500000,2.00500000,0.2825722872408606010305502923,2.00500000,0.2825722872408606010305502923,0.00000000,0,0.01000000,0.001409338090976860853020200959,0.491822,behind_best
2026-04-13 05:00,fill-000001,ord-000150,sell,70790.01000000,0.00016000,1776057114014,1776057117534,3520,70788.00500000,70788.00500000,2.00500000,0.2832400771853932032693957119,2.00500000,0.2832400771853932032693957119,-0.00000000,-0,0.01000000,0.001412668714141611986381025994,2.98872,behind_best
2026-04-13 05:00,fill-000002,ord-000188,sell,70817.58000000,0.00024000,1776057284414,1776057297791,13377,70815.57500000,70815.57500000,2.00500000,0.2831298058372045979998044216,2.00500000,0.2831298058372045979998044216,-0.00000000,-0,0.01000000,0.001412118732355135152118725295,0.478022,behind_best
2026-04-13 05:00,fill-000003,ord-000281,buy,70812.92000000,0.00008000,1776057694114,1776057706999,12885,70814.92500000,70814.92500000,2.00500000,0.2831324046449247810401550238,2.00500000,0.2831324046449247810401550238,0.00000000,0,0.01000000,0.001412131693989649780748902862,0.362906,behind_best
2026-04-13 05:00,fill-000004,ord-000403,buy,70808.00000000,0.001,1776058287014,1776058313989,26975,70810.00500000,70810.00500000,2.00500000,0.2831520771676262415177064315,2.00500000,0.2831520771676262415177064315,0.00000000,0,0.01000000,0.001412229811309856566173099409,2.259721,behind_best
2026-04-13 05:00,fill-000005,ord-000445,buy,70798.96000000,0.00032000,1776058540614,1776058543977,3363,70800.96500000,70800.96500000,2.00500000,0.2831882305558970841710985154,2.00500000,0.2831882305558970841710985154,0.00000000,0,0.01000000,0.001412410127460833337511713294,1.291083,behind_best
2026-04-13 05:00,fill-000006,ord-000488,sell,70752.01000000,0.00008000,1776058681014,1776058683228,2214,70750.00500000,70751.40500000,2.00500000,0.2833922061206921469475514525,0.60500000,0.08551066936409248692658470881,-1.40000000,-0.1978798446728024966217316875,0.01000000,0.001413399493621363420274127418,1.78929,behind_best
