horizon,side,bucket,n,avg_side_aligned_skew_bps,avg_mid_move_bps,median_mid_move_bps,avg_fill_edge_bps
5s,all,<-0.05bps,3,-0.06651419728728264827202838073,-2.950072245305413896078580475,-2.999204393477467734699253528,0.1941399839270074939483916976
5s,all,"[-0.05,-0.01)bps",4,-0.03168952565246860926785319898,-0.6999301153322342266853907358,-0.2905631615362056920974811853,0.1174008574898577888441777655
5s,all,"[-0.01,0.0)bps",1903,-0.0005784618342826400676461553862,-1.372019348974635079777318092,-1.128464973157800278443807404,0.2210895558062436121271210337
5s,all,"[0.0,0.01)bps",118,0.0002969088709639384460479965793,-1.277019094552049574530526371,-1.117747846355803333268369164,0.2938108172519516899090524439
5s,all,"[0.01,0.05)bps",0,,,,
5s,all,>=0.05bps,0,,,,
5s,buy,<-0.05bps,3,-0.06651419728728264827202838073,-2.950072245305413896078580475,-2.999204393477467734699253528,0.1941399839270074939483916976
5s,buy,"[-0.05,-0.01)bps",0,,,,
5s,buy,"[-0.01,0.0)bps",958,-0.0005738963023549080676310416928,-1.375827164560809951386104636,-1.095940579712743396329813840,0.2235349128964926978094833676
5s,buy,"[0.0,0.01)bps",48,0.0003143111699815052361603375671,-0.9525996326835433422369841190,-0.8866092553182292686915549935,0.3153232360715124036975661615
5s,buy,"[0.01,0.05)bps",0,,,,
5s,buy,>=0.05bps,0,,,,
5s,sell,<-0.05bps,0,,,,
5s,sell,"[-0.05,-0.01)bps",4,-0.03168952565246860926785319898,-0.6999301153322342266853907358,-0.2905631615362056920974811853,0.1174008574898577888441777655
5s,sell,"[-0.01,0.0)bps",945,-0.0005830901724696953650159743404,-1.368159150740184786654336593,-1.163487575064855548213562883,0.2186105588830069728851071547
5s,sell,"[0.0,0.01)bps",70,0.0002849758659233212185423913309,-1.499478154119025276674669626,-1.297792141317802778445733007,0.2790594443471100575969287516
5s,sell,"[0.01,0.05)bps",0,,,,
5s,sell,>=0.05bps,0,,,,
30s,all,<-0.05bps,3,-0.06651419728728264827202838073,-7.623043800290931602292691197,-2.061661986314915160384448048,0.1941399839270074939483916976
30s,all,"[-0.05,-0.01)bps",4,-0.03168952565246860926785319898,-1.998050203714487251597985240,-1.740988687502540950496681198,0.1174008574898577888441777655
30s,all,"[-0.01,0.0)bps",1892,-0.0005792037009591784964557030011,-1.745447400828016997957870222,-1.441491873867999121979743206,0.2210676989709570200396801932
30s,all,"[0.0,0.01)bps",118,0.0002969088709639384460479965793,-0.7099901154138371494800250936,-1.178638023646479104475136087,0.2938108172519516899090524439
30s,all,"[0.01,0.05)bps",0,,,,
30s,all,>=0.05bps,0,,,,
30s,buy,<-0.05bps,3,-0.06651419728728264827202838073,-7.623043800290931602292691197,-2.061661986314915160384448048,0.1941399839270074939483916976
30s,buy,"[-0.05,-0.01)bps",0,,,,
30s,buy,"[-0.01,0.0)bps",950,-0.0005743745748657427154183414009,-1.78894260362393463865676618,-1.403580467093852992648618776,0.2234647062360201982352499765
30s,buy,"[0.0,0.01)bps",48,0.0003143111699815052361603375671,1.194721741056113844561667630,-0.02331536905735768606360730598,0.3153232360715124036975661615
30s,buy,"[0.01,0.05)bps",0,,,,
30s,buy,>=0.05bps,0,,,,
30s,sell,<-0.05bps,0,,,,
30s,sell,"[-0.05,-0.01)bps",4,-0.03168952565246860926785319898,-1.998050203714487251597985240,-1.740988687502540950496681198,0.1174008574898577888441777655
30s,sell,"[-0.01,0.0)bps",942,-0.0005840738387391827342322353950,-1.701582812021093687274270263,-1.515088407327465371426744470,0.2186503349562967023265259533
30s,sell,"[0.0,0.01)bps",70,0.0002849758659233212185423913309,-2.01607824556466068825147153,-2.234456624226845685255910649,0.2790594443471100575969287516
30s,sell,"[0.01,0.05)bps",0,,,,
30s,sell,>=0.05bps,0,,,,
1m,all,<-0.05bps,3,-0.06651419728728264827202838073,-6.329054751453898166530821947,-6.936251092289540881379905953,0.1941399839270074939483916976
1m,all,"[-0.05,-0.01)bps",4,-0.03168952565246860926785319898,-2.431679200644210339367179367,-2.947942926112411650970770770,0.1174008574898577888441777655
1m,all,"[-0.01,0.0)bps",1881,-0.0005795655562752966743026669973,-1.773441631777209927698850745,-1.415025258266859375859022301,0.2210068195715971125735398684
