source,scope,scope_value,cluster_gap_ms,cluster_count,tail_rows,largest_cluster_rows,worst_cluster_id,worst_cluster_metric_sum,worst_cluster_share_of_total_metric_sum,worst_cluster_share_of_negative_metric_sum,worst_cluster_share_of_tail_metric_sum
fill,window,2026-05-09 13:00,120000,1,1,1,fill_window_2026_05_09_13_00_120000_1,-8.662684729986879017631238776,0.1489019951391268405630604377,0.1459686515561250119701184090,1
fill,pooled,pooled,300000,52,80,5,fill_pooled_pooled_300000_41,-74.79725446732147719851425858,0.02760483960690431379190932028,0.01674102646549667478748350646,0.06100864085544542610405212071
fill,window,2026-04-12 09:00,300000,2,2,1,fill_window_2026_04_12_09_00_300000_2,-7.662948026664129720569987566,0.1351993173018161013172364891,0.1105090445425437226186092098,0.5032219826207375588127325905
fill,window,2026-04-12 15:00,300000,1,1,1,fill_window_2026_04_12_15_00_300000_1,-11.37888990430753838772235537,0.2367124686791831456719663527,0.1797041117069711214725201046,1
fill,window,2026-04-13 02:00,300000,2,2,1,fill_window_2026_04_13_02_00_300000_1,-8.106402981162434531502500037,0.1082382295590531026161367212,0.09366154908411611994201277045,0.5516385196902724063895398126
fill,window,2026-04-13 07:00,300000,1,2,2,fill_window_2026_04_13_07_00_300000_1,-14.38561833686063967550429651,0.2773786377697632568665435522,0.2130006968211449071662442928,1
fill,window,2026-04-13 12:00,300000,3,6,3,fill_window_2026_04_13_12_00_300000_2,-50.30440705313659920682855408,0.4340297052307956074948443462,0.1577936706616606253524603552,0.4541587734820628726614908935
fill,window,2026-04-14 02:00,300000,2,2,1,fill_window_2026_04_14_02_00_300000_1,-6.058668645885540777522419998,0.09866344550945928210651531660,0.07574708343515028633543826452,0.5339380097402820903610641248
fill,window,2026-04-14 12:00,300000,5,7,2,fill_window_2026_04_14_12_00_300000_1,-47.22992105424599859308292409,0.3731717133681214941807212580,0.1250577727893018155287720538,0.4085187130092451083611635424
fill,window,2026-04-15 00:00,300000,2,2,1,fill_window_2026_04_15_00_00_300000_1,-13.60021330832686381531237011,0.2367888638706926303423032770,0.1387060064694561036071022006,0.5845141176203610896286018756
fill,window,2026-04-15 05:00,300000,3,3,1,fill_window_2026_04_15_05_00_300000_2,-18.38014121413880141518826916,0.2336335089782378910687953569,0.1535970799086080959012595485,0.5370110490502029375877314743
fill,window,2026-04-15 12:00,300000,3,6,3,fill_window_2026_04_15_12_00_300000_3,-38.34829426002197199804927859,0.1426624740587968579122948971,0.1029286641727362803672739099,0.4447300459059072923635878775
fill,window,2026-04-16 12:00,300000,5,6,2,fill_window_2026_04_16_12_00_300000_2,-29.04999600590774534206921338,0.1368789314973007528972555590,0.07550778249535395199149443666,0.3038656215081957891279319831
fill,window,2026-04-16 17:00,300000,6,6,1,fill_window_2026_04_16_17_00_300000_5,-21.07758646163154809102154712,0.07935421359536021067309966883,0.05822821388917985888364498259,0.2584572298834774593707979713
fill,window,2026-04-17 05:00,300000,3,4,2,fill_window_2026_04_17_05_00_300000_3,-21.00194081848572363176482845,0.1978479349595456954914592977,0.1167631944868126096788064432,0.4578783913481648689986946753
fill,window,2026-04-17 12:00,300000,3,6,3,fill_window_2026_04_17_12_00_300000_3,-67.68759647782212767231847825,0.2409117979792151888310593935,0.1185899078378113583159509591,0.4884816404742869845869739529
fill,window,2026-04-18 13:00,300000,2,2,1,fill_window_2026_04_18_13_00_300000_1,-9.246657922673227622466075904,0.2902590259091253354103891636,0.1523583484820049938259411459,0.5053914227178134928421452750
fill,window,2026-04-18 19:00,300000,1,1,1,fill_window_2026_04_18_19_00_300000_1,-5.018218933630456958276763950,0.1230730962576041528446035756,0.09442131149346311195419905622,1
fill,window,2026-04-19 13:00,300000,2,4,3,fill_window_2026_04_19_13_00_300000_1,-63.08619274320319033809237190,0.2761827316305908147724066091,0.1983118228813157407626319451,0.7624739424529905083416965574
fill,window,2026-04-20 03:00,300000,3,3,1,fill_window_2026_04_20_03_00_300000_3,-18.67597044876694743172800238,0.2733211597432672785178249199,0.1634045009517508952239315661,0.4428861476787419023043216934
fill,window,2026-04-20 13:00,300000,4,5,2,fill_window_2026_04_20_13_00_300000_1,-24.67688996868040770409627982,0.1111397458252279585441015229,0.07088043652928080999329850816,0.3627742097878047258668848891
fill,window,2026-05-06 18:00,300000,2,2,1,fill_window_2026_05_06_18_00_300000_2,-5.923905843340477963789541503,0.1342427270676022731349948770,0.09826894254329292234935557383,0.5036681809598852475619910288
fill,window,2026-05-07 16:00,300000,2,4,3,fill_window_2026_05_07_16_00_300000_1,-36.81541584748829844359570716,0.3500678065879866154726763243,0.1930324382180067982205958603,0.6727285399252395929544386412
fill,window,2026-05-08 07:00,300000,2,2,1,fill_window_2026_05_08_07_00_300000_2,-12.96134800011530606444525673,0.1672477852822891163231370129,0.1535902063631817226415398466,0.6094890350197777894794768475
fill,window,2026-05-09 07:00,300000,1,1,1,fill_window_2026_05_09_07_00_300000_1,-5.300935820012246817897538278,0.1897765942488493499633908092,0.1897765942488493499633908092,1
fill,window,2026-05-09 13:00,300000,1,1,1,fill_window_2026_05_09_13_00_300000_1,-8.662684729986879017631238776,0.1489019951391268405630604377,0.1459686515561250119701184090,1
matched_lot,pooled,pooled,60000,24,54,6,matched_lot_pooled_pooled_60000_1,-2673.836694000000,0.1111800583874259833576093587,0.02876014961801517118866722976,0.1038575052564767331972889275
matched_lot,window,2026-04-12 09:00,60000,1,2,2,matched_lot_window_2026_04_12_09_00_60000_1,-472.934754000000,0.2250977296188586725138745418,0.2063882869665605267321417488,1
