source,scope,scope_value,cluster_gap_ms,cluster_id,rows,start_timestamp_ms,end_timestamp_ms,duration_ms,metric_sum,negative_metric_sum,min_metric,max_metric,first_row_id,last_row_id,nearest_boundary,nearest_boundary_hhmm_utc,boundary_signed_delta_ms,boundary_abs_delta_ms,within_30m_boundary,cluster_share_of_total_metric_sum,cluster_share_of_negative_metric_sum,cluster_share_of_tail_metric_sum
fill,pooled,pooled,300000,fill_pooled_pooled_300000_41,4,1776612772298,1776612979215,206917,-74.79725446732147719851425858,-74.79725446732147719851425858,-26.91587096939453550382952041,-11.71106172411828686042188668,2026-04-19 13:00:2026-04-19 15:00:fill-000012:5907,2026-04-19 13:00:2026-04-19 15:00:fill-000015:5922,US cash open,13:30,7372298,7372298,False,0.02760483960690431379190932028,0.01674102646549667478748350646,0.06100864085544542610405212071
fill,pooled,pooled,300000,fill_pooled_pooled_300000_42,3,1776618270401,1776618312818,42417,-45.64607245009404160485954738,-45.64607245009404160485954738,-19.65262524216383105620710574,-12.99672360396510527432622082,2026-04-19 13:00:2026-04-19 17:00:fill-000004:6014,2026-04-19 13:00:2026-04-19 17:00:fill-000007:6029,US cash close,20:00,-10529599,10529599,False,0.01684624011460861939372510357,0.01021644594277001647527488362,0.03723137781462414073378796991
fill,pooled,pooled,300000,fill_pooled_pooled_300000_43,1,1776621116719,1776621116719,0,-12.39914424264331801741129993,-12.39914424264331801741129993,-12.39914424264331801741129993,-12.39914424264331801741129993,2026-04-19 13:00:2026-04-19 17:00:fill-000025:6119,2026-04-19 13:00:2026-04-19 17:00:fill-000025:6119,US cash close,20:00,-7683281,7683281,False,0.004576055505226847472766585778,0.002775160711363953384153698536,0.01011340514302943041673445298
fill,pooled,pooled,300000,fill_pooled_pooled_300000_44,1,1776669812180,1776669812180,0,-12.95749303898071260637457427,-12.95749303898071260637457427,-12.95749303898071260637457427,-12.95749303898071260637457427,2026-04-20 03:00:2026-04-20 07:00:fill-000007:6353,2026-04-20 03:00:2026-04-20 07:00:fill-000007:6353,London,07:00,1412180,1412180,True,0.004782120942753511964232654245,0.002900129629582018932217505900,0.01056882428147789811702359596
fill,pooled,pooled,300000,fill_pooled_pooled_300000_45,1,1776670261412,1776670261412,0,-18.67597044876694743172800238,-18.67597044876694743172800238,-18.67597044876694743172800238,-18.67597044876694743172800238,2026-04-20 03:00:2026-04-20 07:00:fill-000010:6368,2026-04-20 03:00:2026-04-20 07:00:fill-000010:6368,London,07:00,1861412,1861412,False,0.006892594820665993549131301128,0.004180031978155542427491202644,0.01523312027761033002278190711
fill,pooled,pooled,300000,fill_pooled_pooled_300000_46,2,1776691991760,1776691991946,186,-24.67688996868040770409627982,-24.67688996868040770409627982,-12.33844498434020385204813991,-12.33844498434020385204813991,2026-04-20 13:00:2026-04-20 13:00:fill-000008:6442,2026-04-20 13:00:2026-04-20 13:00:fill-000009:6447,US cash open,13:30,191760,191760,True,0.009107307406320134689221025490,0.005523150160977051691833583948,0.02012779116359562910609453198
fill,pooled,pooled,300000,fill_pooled_pooled_300000_47,1,1776697402716,1776697402716,0,-18.99273705457978177268392696,-18.99273705457978177268392696,-18.99273705457978177268392696,-18.99273705457978177268392696,2026-04-20 13:00:2026-04-20 15:00:fill-000002:6654,2026-04-20 13:00:2026-04-20 15:00:fill-000002:6654,US cash open,13:30,5602716,5602716,False,0.007009501402445771442544809953,0.004250930277418853812995206790,0.01549149206179763425081258996
fill,pooled,pooled,300000,fill_pooled_pooled_300000_48,1,1776703275587,1776703275587,0,-12.03235564038866893987194685,-12.03235564038866893987194685,-12.03235564038866893987194685,-12.03235564038866893987194685,2026-04-20 13:00:2026-04-20 16:00:fill-000007:6798,2026-04-20 13:00:2026-04-20 16:00:fill-000007:6798,US cash open,13:30,11475587,11475587,False,0.004440687695178367286742108496,0.002693066552409625329603138109,0.009814232743398088090838032874
fill,pooled,pooled,300000,fill_pooled_pooled_300000_49,2,1776704749547,1776704750999,1452,-23.71690456054099263976130216,-23.71690456054099263976130216,-12.32074139690249192163738094,-11.39616316363850071812392122,2026-04-20 13:00:2026-04-20 17:00:fill-000001:6803,2026-04-20 13:00:2026-04-20 17:00:fill-000002:6808,US cash close,20:00,-10450453,10450453,False,0.008753013075527084749807845364,0.005308287446581913422931252855,0.01934477572527852405987863558
fill,pooled,pooled,300000,fill_pooled_pooled_300000_50,2,1778174798398,1778174884499,86101,-26.27527992320839437850219305,-26.27527992320839437850219305,-15.19138210129793355901342261,-11.08389782191046081948877044,2026-05-07 16:00:2026-05-07 17:00:fill-000009:7221,2026-05-07 16:00:2026-05-07 17:00:fill-000012:7236,US cash close,20:00,-9201602,9201602,False,0.009697212726218064714350648349,0.005880899769856449534455811467,0.02143152349143600099137039200
fill,pooled,pooled,300000,fill_pooled_pooled_300000_51,1,1778186239840,1778186239840,0,-17.91009921922731945743963131,-17.91009921922731945743963131,-17.91009921922731945743963131,-17.91009921922731945743963131,2026-05-07 16:00:2026-05-07 20:00:fill-000009:7455,2026-05-07 16:00:2026-05-07 20:00:fill-000009:7455,US cash close,20:00,2239840,2239840,False,0.006609940696506653628330927617,0.004008615652593926754587066209,0.01460843474446799564003795359
fill,pooled,pooled,300000,fill_pooled_pooled_300000_52,1,1778238116997,1778238116997,0,-12.96134800011530606444525673,-12.96134800011530606444525673,-12.96134800011530606444525673,-12.96134800011530606444525673,2026-05-08 07:00:2026-05-08 11:00:fill-000002:7617,2026-05-08 07:00:2026-05-08 11:00:fill-000002:7617,US cash open,13:30,-8883003,8883003,False,0.004783543663207212503272703583,0.002900992442085462967167300042,0.01057196859394026081225704917
fill,window,2026-04-12 09:00,300000,fill_window_2026_04_12_09_00_300000_1,1,1775992410120,1775992410120,0,-7.564820813552555536492741766,-7.564820813552555536492741766,-7.564820813552555536492741766,-7.564820813552555536492741766,2026-04-12 09:00:2026-04-12 11:00:fill-000006:113,2026-04-12 09:00:2026-04-12 11:00:fill-000006:113,US cash open,13:30,-8189880,8189880,False,0.1334680342270449439391867583,0.1090939306037763121812007156,0.4967780173792624411872674096
fill,window,2026-04-12 09:00,300000,fill_window_2026_04_12_09_00_300000_2,1,1775998996570,1775998996570,0,-7.662948026664129720569987566,-7.662948026664129720569987566,-7.662948026664129720569987566,-7.662948026664129720569987566,2026-04-12 09:00:2026-04-12 13:00:fill-000001:148,2026-04-12 09:00:2026-04-12 13:00:fill-000001:148,US cash open,13:30,-1603430,1603430,True,0.1351993173018161013172364891,0.1105090445425437226186092098,0.5032219826207375588127325905
fill,window,2026-04-12 15:00,300000,fill_window_2026_04_12_15_00_300000_1,1,1776016183189,1776016183189,0,-11.37888990430753838772235537,-11.37888990430753838772235537,-11.37888990430753838772235537,-11.37888990430753838772235537,2026-04-12 15:00:2026-04-12 17:00:fill-000004:293,2026-04-12 15:00:2026-04-12 17:00:fill-000004:293,US cash close,20:00,-7816811,7816811,False,0.2367124686791831456719663527,0.1797041117069711214725201046,1
fill,window,2026-04-13 02:00,300000,fill_window_2026_04_13_02_00_300000_1,1,1776051391741,1776051391741,0,-8.106402981162434531502500037,-8.106402981162434531502500037,-8.106402981162434531502500037,-8.106402981162434531502500037,2026-04-13 02:00:2026-04-13 03:00:fill-000004:408,2026-04-13 02:00:2026-04-13 03:00:fill-000004:408,Singapore/Hong Kong,01:00,9391741,9391741,False,0.1082382295590531026161367212,0.09366154908411611994201277045,0.5516385196902724063895398126
fill,window,2026-04-13 02:00,300000,fill_window_2026_04_13_02_00_300000_2,1,1776062669065,1776062669065,0,-6.588732858361468898694992866,-6.588732858361468898694992866,-6.588732858361468898694992866,-6.588732858361468898694992866,2026-04-13 02:00:2026-04-13 06:00:fill-000007:517,2026-04-13 02:00:2026-04-13 06:00:fill-000007:517,London,07:00,-930935,930935,True,0.08797401033279753811641756315,0.07612635683787083533331679279,0.4483614803097275936104601876
fill,window,2026-04-13 07:00,300000,fill_window_2026_04_13_07_00_300000_1,2,1776067688964,1776067688966,2,-14.38561833686063967550429651,-14.38561833686063967550429651,-7.192809168430319837752148255,-7.192809168430319837752148255,2026-04-13 07:00:2026-04-13 08:00:fill-000001:572,2026-04-13 07:00:2026-04-13 08:00:fill-000002:577,London,07:00,4088964,4088964,False,0.2773786377697632568665435522,0.2130006968211449071662442928,1
fill,window,2026-04-13 12:00,300000,fill_window_2026_04_13_12_00_300000_1,2,1776088190311,1776088250906,60595,-49.14886893302163727267011137,-49.14886893302163727267011137,-25.40585051521308854302285371,-23.74301841780854872964725766,2026-04-13 12:00:2026-04-13 13:00:fill-000015:844,2026-04-13 12:00:2026-04-13 13:00:fill-000019:864,US cash open,13:30,1190311,1190311,True,0.4240596469588300990590080095,0.1541690060995714153041220036,0.4437263321496596241194114945
fill,window,2026-04-13 12:00,300000,fill_window_2026_04_13_12_00_300000_2,3,1776091358170,1776091575808,217638,-50.30440705313659920682855408,-50.30440705313659920682855408,-18.95722874275511678073961124,-13.14931445022302494001966267,2026-04-13 12:00:2026-04-13 14:00:fill-000026:1013,2026-04-13 12:00:2026-04-13 14:00:fill-000028:1023,US cash open,13:30,4358170,4358170,False,0.4340297052307956074948443462,0.1577936706616606253524603552,0.4541587734820628726614908935
fill,window,2026-04-13 12:00,300000,fill_window_2026_04_13_12_00_300000_3,1,1776095859692,1776095859692,0,-11.31064621543143683740618564,-11.31064621543143683740618564,-11.31064621543143683740618564,-11.31064621543143683740618564,2026-04-13 12:00:2026-04-13 15:00:fill-000016:1132,2026-04-13 12:00:2026-04-13 15:00:fill-000016:1132,US cash open,13:30,8859692,8859692,False,0.09758899329969187826330396351,0.03547896672359371346781431016,0.1021148943682775032190976119
fill,window,2026-04-14 02:00,300000,fill_window_2026_04_14_02_00_300000_1,1,1776132151715,1776132151715,0,-6.058668645885540777522419998,-6.058668645885540777522419998,-6.058668645885540777522419998,-6.058668645885540777522419998,2026-04-14 02:00:2026-04-14 02:00:fill-000001:1276,2026-04-14 02:00:2026-04-14 02:00:fill-000001:1276,Singapore/Hong Kong,01:00,3751715,3751715,False,0.09866344550945928210651531660,0.07574708343515028633543826452,0.5339380097402820903610641248
