source,scope,scope_value,cluster_gap_ms,cluster_count,tail_rows,largest_cluster_rows,worst_cluster_id,worst_cluster_metric_sum,worst_cluster_share_of_total_metric_sum,worst_cluster_share_of_negative_metric_sum,worst_cluster_share_of_tail_metric_sum
fill,window,2026-04-13 02:00,120000,2,2,1,fill_window_2026_04_13_02_00_120000_1,-8.106402981162434531502500037,0.09461072500041165269332773908,0.08328137772526751988398694262,0.5516385196902724063895398126
fill,window,2026-04-13 07:00,120000,2,3,2,fill_window_2026_04_13_07_00_120000_2,-14.38561833686063967550429651,0.2119505661247742232816948474,0.1680969884380933556150521197,0.6902090956703720734524899659
fill,window,2026-04-13 12:00,120000,6,7,2,fill_window_2026_04_13_12_00_120000_1,-49.14886893302163727267011137,0.3134707764744294303848369897,0.1210837786292337949961672541,0.4384430954337833938795421586
fill,window,2026-04-14 02:00,120000,3,3,1,fill_window_2026_04_14_02_00_120000_1,-6.058668645885540777522419998,0.08099557676330029482647101854,0.06136570245557151441949577389,0.3713574495890863090717227155
fill,window,2026-04-14 12:00,120000,7,8,2,fill_window_2026_04_14_12_00_120000_1,-35.26111766948656426260973233,0.1591831280510217804409248110,0.06950603427902048309861576124,0.2541833370502579756878994545
fill,window,2026-04-15 00:00,120000,3,3,1,fill_window_2026_04_15_00_00_120000_2,-13.60021330832686381531237011,0.1908829429492785036836932722,0.1139554498625465403833587169,0.4432075583261763542877513571
fill,window,2026-04-15 05:00,120000,4,4,1,fill_window_2026_04_15_05_00_120000_2,-21.74118965541873253671610265,0.1928359021071041486617693605,0.1356679528736589770876721927,0.4608135049419452499373549965
fill,window,2026-04-15 12:00,120000,6,8,2,fill_window_2026_04_15_12_00_120000_1,-35.71001509184497450734672794,0.1189155732649964835251165309,0.07840354092736178134265710866,0.3273958571173455881557752474
fill,window,2026-04-16 12:00,120000,6,7,2,fill_window_2026_04_16_12_00_120000_2,-29.04999600590774534206921338,0.09956033124699631675140362653,0.05847952451298802172100435831,0.2570255648388474473570105031
fill,window,2026-04-16 17:00,120000,7,8,2,fill_window_2026_04_16_17_00_120000_1,-22.03697778478770981344409326,0.06134561289438719335861552394,0.04572585491210670800374141735,0.2092331402408059154459891345
fill,window,2026-04-17 05:00,120000,4,5,2,fill_window_2026_04_17_05_00_120000_4,-21.00194081848572363176482845,0.1787063597029463149293294737,0.08884835519242178989843099604,0.3428450330774962036062275732
fill,window,2026-04-17 12:00,120000,5,8,3,fill_window_2026_04_17_12_00_120000_2,-67.79820612076592014790232605,0.2599068679460438839110509751,0.1093429639925722499900830914,0.3802001060818795225238208555
fill,window,2026-04-18 13:00,120000,2,2,1,fill_window_2026_04_18_13_00_120000_1,-9.246657922673227622466075904,0.2409673750851377149923317475,0.1162261615048713946599918172,0.5053914227178134928421452750
fill,window,2026-04-18 19:00,120000,1,2,2,fill_window_2026_04_18_19_00_120000_1,-10.03643786726091391655352790,0.2196487421539893623479236427,0.1728455518537920099385815076,1
fill,window,2026-04-19 13:00,120000,3,5,3,fill_window_2026_04_19_13_00_120000_2,-63.08619274320319033809237190,0.2143595474266577023253274737,0.1601779181365285838315405113,0.5700461329126381890952500443
fill,window,2026-04-20 03:00,120000,4,4,1,fill_window_2026_04_20_03_00_120000_4,-18.67597044876694743172800238,0.1609408687263060308132048193,0.1064088092325155814860109272,0.3561231425541517511392209971
fill,window,2026-04-20 13:00,120000,4,5,2,fill_window_2026_04_20_13_00_120000_1,-24.67688996868040770409627982,0.09585500689925483931733018567,0.05949012384132365124405475274,0.3627742097878047258668848891
fill,window,2026-05-06 18:00,120000,2,2,1,fill_window_2026_05_06_18_00_120000_1,-8.248677392161026186137855975,0.1104773109233236141591342332,0.08961193776197018992378505339,0.5820165071600048706625828247
fill,window,2026-05-07 16:00,120000,5,6,2,fill_window_2026_05_07_16_00_120000_1,-26.27527992320839437850219305,0.1951055059811953059964799941,0.1042039075839150923371923992,0.3623632145033100298863893347
fill,window,2026-05-08 07:00,120000,3,3,1,fill_window_2026_05_08_07_00_120000_3,-12.96134800011530606444525673,0.1253076810974785315855050461,0.1098954415176450065285620585,0.4442145603536891072809893096
fill,window,2026-05-09 07:00,120000,1,1,1,fill_window_2026_05_09_07_00_120000_1,-5.300935820012246817897538278,0.1712504103566632824425844324,0.1653906548826601503567464481,1
fill,window,2026-05-09 13:00,120000,2,2,1,fill_window_2026_05_09_13_00_120000_2,-8.662684729986879017631238776,0.1265888271938733688736357931,0.1241934700130214388833642698,0.6240195171396573194474743700
fill,pooled,pooled,300000,66,101,5,fill_pooled_pooled_300000_45,-90.38568252350233799447434729,0.02645155915628698755165953253,0.01604917983009668954560273320,0.05971800202401811901143113460
fill,window,2026-04-12 09:00,300000,3,3,1,fill_window_2026_04_12_09_00_300000_3,-7.662948026664129720569987566,0.1257129678974011695517722579,0.08631964238871583117007248586,0.3529538529231121160051603194
fill,window,2026-04-12 15:00,300000,1,2,2,fill_window_2026_04_12_15_00_300000_1,-26.02964589499561243735974142,0.3629020770360922797136544241,0.2822258934114357526185847365,1
fill,window,2026-04-13 02:00,300000,2,2,1,fill_window_2026_04_13_02_00_300000_1,-8.106402981162434531502500037,0.09461072500041165269332773908,0.08328137772526751988398694262,0.5516385196902724063895398126
fill,window,2026-04-13 07:00,300000,2,3,2,fill_window_2026_04_13_07_00_300000_2,-14.38561833686063967550429651,0.2119505661247742232816948474,0.1680969884380933556150521197,0.6902090956703720734524899659
fill,window,2026-04-13 12:00,300000,5,7,3,fill_window_2026_04_13_12_00_300000_1,-61.21336610456496664961570582,0.3904179652549289739120367298,0.1508060273097256554461723125,0.5460670469015589361145398482
fill,window,2026-04-14 02:00,300000,3,3,1,fill_window_2026_04_14_02_00_300000_1,-6.058668645885540777522419998,0.08099557676330029482647101854,0.06136570245557151441949577389,0.3713574495890863090717227155
fill,window,2026-04-14 12:00,300000,7,8,2,fill_window_2026_04_14_12_00_300000_1,-35.26111766948656426260973233,0.1591831280510217804409248110,0.06950603427902048309861576124,0.2541833370502579756878994545
fill,window,2026-04-15 00:00,300000,3,3,1,fill_window_2026_04_15_00_00_300000_2,-13.60021330832686381531237011,0.1908829429492785036836932722,0.1139554498625465403833587169,0.4432075583261763542877513571
fill,window,2026-04-15 05:00,300000,4,4,1,fill_window_2026_04_15_05_00_300000_2,-21.74118965541873253671610265,0.1928359021071041486617693605,0.1356679528736589770876721927,0.4608135049419452499373549965
fill,window,2026-04-15 12:00,300000,5,8,3,fill_window_2026_04_15_12_00_300000_4,-38.34829426002197199804927859,0.1277011332517384714838403371,0.08419604558489157449221277379,0.3515840762306273740644842706
fill,window,2026-04-16 12:00,300000,5,7,3,fill_window_2026_04_16_12_00_300000_2,-46.47230045408993923346370748,0.1592701639641604125414840557,0.09355175240048972966616612906,0.4111728370339186598908862489
fill,window,2026-04-16 17:00,300000,7,8,2,fill_window_2026_04_16_17_00_300000_1,-22.03697778478770981344409326,0.06134561289438719335861552394,0.04572585491210670800374141735,0.2092331402408059154459891345
fill,window,2026-04-17 05:00,300000,4,5,2,fill_window_2026_04_17_05_00_300000_4,-21.00194081848572363176482845,0.1787063597029463149293294737,0.08884835519242178989843099604,0.3428450330774962036062275732
fill,window,2026-04-17 12:00,300000,4,8,3,fill_window_2026_04_17_12_00_300000_2,-67.79820612076592014790232605,0.2599068679460438839110509751,0.1093429639925722499900830914,0.3802001060818795225238208555
fill,window,2026-04-18 13:00,300000,2,2,1,fill_window_2026_04_18_13_00_300000_1,-9.246657922673227622466075904,0.2409673750851377149923317475,0.1162261615048713946599918172,0.5053914227178134928421452750
fill,window,2026-04-18 19:00,300000,1,2,2,fill_window_2026_04_18_19_00_300000_1,-10.03643786726091391655352790,0.2196487421539893623479236427,0.1728455518537920099385815076,1
fill,window,2026-04-19 13:00,300000,3,5,3,fill_window_2026_04_19_13_00_300000_2,-63.08619274320319033809237190,0.2143595474266577023253274737,0.1601779181365285838315405113,0.5700461329126381890952500443
fill,window,2026-04-20 03:00,300000,3,4,2,fill_window_2026_04_20_03_00_300000_2,-23.23115968578682527122745861,0.2001953810971531995278610111,0.1323626017740998810585627128,0.4429838660954803113034621286
fill,window,2026-04-20 13:00,300000,4,5,2,fill_window_2026_04_20_13_00_300000_1,-24.67688996868040770409627982,0.09585500689925483931733018567,0.05949012384132365124405475274,0.3627742097878047258668848891
fill,window,2026-05-06 18:00,300000,2,2,1,fill_window_2026_05_06_18_00_300000_1,-8.248677392161026186137855975,0.1104773109233236141591342332,0.08961193776197018992378505339,0.5820165071600048706625828247
fill,window,2026-05-07 16:00,300000,4,6,3,fill_window_2026_05_07_16_00_300000_1,-36.81541584748829844359570716,0.2733706494402682585153119059,0.1460045412207594715259072130,0.5077225616153583299053308881
fill,window,2026-05-08 07:00,300000,3,3,1,fill_window_2026_05_08_07_00_300000_3,-12.96134800011530606444525673,0.1253076810974785315855050461,0.1098954415176450065285620585,0.4442145603536891072809893096
fill,window,2026-05-09 07:00,300000,1,1,1,fill_window_2026_05_09_07_00_300000_1,-5.300935820012246817897538278,0.1712504103566632824425844324,0.1653906548826601503567464481,1
fill,window,2026-05-09 13:00,300000,2,2,1,fill_window_2026_05_09_13_00_300000_2,-8.662684729986879017631238776,0.1265888271938733688736357931,0.1241934700130214388833642698,0.6240195171396573194474743700
matched_lot,pooled,pooled,60000,37,74,7,matched_lot_pooled_pooled_60000_13,-3685.564486000000000000000000,0.1155135936056042365895173367,0.03163736225439456714113617411,0.1073784217723667886728681236
matched_lot,window,2026-04-12 09:00,60000,1,2,2,matched_lot_window_2026_04_12_09_00_60000_1,-399.9201540000000000000000001,0.2238647586627044112371373402,0.1671733673371879777203801795,1
matched_lot,window,2026-04-12 15:00,60000,1,1,1,matched_lot_window_2026_04_12_15_00_60000_1,-98.160058000000,0.1490088256345111134135072801,0.1188644976188437568903163190,1
matched_lot,window,2026-04-13 02:00,60000,1,1,1,matched_lot_window_2026_04_13_02_00_60000_1,-134.450000000000,0.3484513461545010513900606665,0.1567125902587300038260717444,1
matched_lot,window,2026-04-13 07:00,60000,2,2,1,matched_lot_window_2026_04_13_07_00_60000_1,-192.3264,0.09630327854372654155128151221,0.08853645590252743418321357424,0.5217114049419714387159100055
matched_lot,window,2026-04-13 12:00,60000,4,6,3,matched_lot_window_2026_04_13_12_00_60000_3,-1601.850734000000000000000000,0.1162420961722369779851251133,0.09594228598764365599872939589,0.4802171588453846614875446443
matched_lot,window,2026-04-14 02:00,60000,1,2,2,matched_lot_window_2026_04_14_02_00_60000_1,-443.745246000000,0.2076381582839432705043404046,0.1728667203019574335985128792,1
matched_lot,window,2026-04-14 12:00,60000,3,5,2,matched_lot_window_2026_04_14_12_00_60000_3,-1287.593286000000000000000000,0.2847661344665506374411030134,0.08018180294610924315562036010,0.4117829543667943939238556195
matched_lot,window,2026-04-15 00:00,60000,1,2,2,matched_lot_window_2026_04_15_00_00_60000_1,-855.5208000000000000000000000,0.2177280104575801712000219756,0.1981489707193859193114336006,1
matched_lot,window,2026-04-15 05:00,60000,2,2,1,matched_lot_window_2026_04_15_05_00_60000_1,-381.945556000000000000000,0.1008819505683498758836730430,0.08047362883833009315912646138,0.5255467049620084271730745675
matched_lot,window,2026-04-15 12:00,60000,4,6,2,matched_lot_window_2026_04_15_12_00_60000_2,-543.0240040000000000000000000,4.218498920585894544270847292,0.06444925709912150777162535520,0.3312599685932093258850416355
matched_lot,window,2026-04-16 12:00,60000,4,6,3,matched_lot_window_2026_04_16_12_00_60000_4,-873.8221280000000000000000001,-0.2085060291055391787923449255,0.1341470872145349198654026346,0.4438393627202718772634193034
