source,scope,scope_value,cluster_gap_ms,cluster_id,rows,start_timestamp_ms,end_timestamp_ms,duration_ms,metric_sum,negative_metric_sum,min_metric,max_metric,first_row_id,last_row_id,nearest_boundary,nearest_boundary_hhmm_utc,boundary_signed_delta_ms,boundary_abs_delta_ms,within_30m_boundary,cluster_share_of_total_metric_sum,cluster_share_of_negative_metric_sum,cluster_share_of_tail_metric_sum
fill,pooled,pooled,300000,fill_pooled_pooled_300000_62,1,1776703275587,1776703275587,0,-12.03235564038866893987194685,-12.03235564038866893987194685,-12.03235564038866893987194685,-12.03235564038866893987194685,2026-04-20 13:00:2026-04-20 16:00:fill-000010:8506,2026-04-20 13:00:2026-04-20 16:00:fill-000010:8506,US cash open,13:30,11475587,11475587,False,0.003521294060355915688268823297,0.002136504743459375939349244136,0.007949801544061997201932855092
fill,pooled,pooled,300000,fill_pooled_pooled_300000_63,2,1776704749547,1776704750999,1452,-23.71690456054099263976130216,-23.71690456054099263976130216,-12.32074139690249192163738094,-11.39616316363850071812392122,2026-04-20 13:00:2026-04-20 17:00:fill-000002:8516,2026-04-20 13:00:2026-04-20 17:00:fill-000003:8521,US cash close,20:00,-10450453,10450453,False,0.006940801756119257468918523078,0.004211251778802338821771399012,0.01566980648933590192717412143
fill,pooled,pooled,300000,fill_pooled_pooled_300000_64,2,1778174798398,1778174884499,86101,-26.27527992320839437850219305,-26.27527992320839437850219305,-15.19138210129793355901342261,-11.08389782191046081948877044,2026-05-07 16:00:2026-05-07 17:00:fill-000012:9039,2026-05-07 16:00:2026-05-07 17:00:fill-000018:9069,US cash close,20:00,-9201602,9201602,False,0.007689515660359427649500662720,0.004665525344282817173609120631,0.01736013023111041833253646057
fill,pooled,pooled,300000,fill_pooled_pooled_300000_65,1,1778186239840,1778186239840,0,-17.91009921922731945743963131,-17.91009921922731945743963131,-17.91009921922731945743963131,-17.91009921922731945743963131,2026-05-07 16:00:2026-05-07 20:00:fill-000012:9382,2026-05-07 16:00:2026-05-07 20:00:fill-000012:9382,US cash close,20:00,2239840,2239840,False,0.005241428020075801450778995060,0.003180176274815560365811144843,0.01183323853472117804449509936
fill,pooled,pooled,300000,fill_pooled_pooled_300000_66,1,1778238116997,1778238116997,0,-12.96134800011530606444525673,-12.96134800011530606444525673,-12.96134800011530606444525673,-12.96134800011530606444525673,2026-05-08 07:00:2026-05-08 11:00:fill-000002:9623,2026-05-08 07:00:2026-05-08 11:00:fill-000002:9623,US cash open,13:30,-8883003,8883003,False,0.003793165618693246004685879943,0.002301459690147551312607453999,0.008563588662436937303784334774
fill,window,2026-04-12 09:00,300000,fill_window_2026_04_12_09_00_300000_1,1,1775988503625,1775988503625,0,-6.483137453058530426926891592,-6.483137453058530426926891592,-6.483137453058530426926891592,-6.483137453058530426926891592,2026-04-12 09:00:2026-04-12 10:00:fill-000002:48,2026-04-12 09:00:2026-04-12 10:00:fill-000002:48,London,07:00,11303625,11303625,False,0.1063578204725971643667625467,0.07302961008708806563076602412,0.2986120139566274953226937648
fill,window,2026-04-12 09:00,300000,fill_window_2026_04_12_09_00_300000_2,1,1775992410120,1775992410120,0,-7.564820813552555536492741766,-7.564820813552555536492741766,-7.564820813552555536492741766,-7.564820813552555536492741766,2026-04-12 09:00:2026-04-12 11:00:fill-000007:128,2026-04-12 09:00:2026-04-12 11:00:fill-000007:128,US cash open,13:30,-8189880,8189880,False,0.1241031614431706723056047764,0.08521428373106619499927590187,0.3484341331202603886721459155
fill,window,2026-04-12 09:00,300000,fill_window_2026_04_12_09_00_300000_3,1,1775998996570,1775998996570,0,-7.662948026664129720569987566,-7.662948026664129720569987566,-7.662948026664129720569987566,-7.662948026664129720569987566,2026-04-12 09:00:2026-04-12 13:00:fill-000004:188,2026-04-12 09:00:2026-04-12 13:00:fill-000004:188,US cash open,13:30,-1603430,1603430,True,0.1257129678974011695517722579,0.08631964238871583117007248586,0.3529538529231121160051603194
fill,window,2026-04-12 15:00,300000,fill_window_2026_04_12_15_00_300000_1,2,1776016183189,1776016281468,98279,-26.02964589499561243735974142,-26.02964589499561243735974142,-14.65075599068807404963738605,-11.37888990430753838772235537,2026-04-12 15:00:2026-04-12 17:00:fill-000005:392,2026-04-12 15:00:2026-04-12 17:00:fill-000006:397,US cash close,20:00,-7816811,7816811,False,0.3629020770360922797136544241,0.2822258934114357526185847365,1
fill,window,2026-04-13 02:00,300000,fill_window_2026_04_13_02_00_300000_1,1,1776051391741,1776051391741,0,-8.106402981162434531502500037,-8.106402981162434531502500037,-8.106402981162434531502500037,-8.106402981162434531502500037,2026-04-13 02:00:2026-04-13 03:00:fill-000005:537,2026-04-13 02:00:2026-04-13 03:00:fill-000005:537,Singapore/Hong Kong,01:00,9391741,9391741,False,0.09461072500041165269332773908,0.08328137772526751988398694262,0.5516385196902724063895398126
fill,window,2026-04-13 02:00,300000,fill_window_2026_04_13_02_00_300000_2,1,1776062669065,1776062669065,0,-6.588732858361468898694992866,-6.588732858361468898694992866,-6.588732858361468898694992866,-6.588732858361468898694992866,2026-04-13 02:00:2026-04-13 06:00:fill-000009:665,2026-04-13 02:00:2026-04-13 06:00:fill-000009:665,London,07:00,-930935,930935,True,0.07689782928534160561043080588,0.06768954753214086644318376851,0.4483614803097275936104601876
fill,window,2026-04-13 07:00,300000,fill_window_2026_04_13_07_00_300000_1,1,1776066247822,1776066247822,0,-6.456787865984995984459919924,-6.456787865984995984459919924,-6.456787865984995984459919924,-6.456787865984995984459919924,2026-04-13 07:00:2026-04-13 07:00:fill-000009:730,2026-04-13 07:00:2026-04-13 07:00:fill-000009:730,London,07:00,2647822,2647822,False,0.09513111021696572900510630211,0.07544803218327005189275434579,0.3097909043296279265475100338
fill,window,2026-04-13 07:00,300000,fill_window_2026_04_13_07_00_300000_2,2,1776067688964,1776067688966,2,-14.38561833686063967550429651,-14.38561833686063967550429651,-7.192809168430319837752148255,-7.192809168430319837752148255,2026-04-13 07:00:2026-04-13 08:00:fill-000001:740,2026-04-13 07:00:2026-04-13 08:00:fill-000002:745,London,07:00,4088964,4088964,False,0.2119505661247742232816948474,0.1680969884380933556150521197,0.6902090956703720734524899659
fill,window,2026-04-13 12:00,300000,fill_window_2026_04_13_12_00_300000_1,3,1776088190311,1776088384531,194220,-61.21336610456496664961570582,-61.21336610456496664961570582,-25.40585051521308854302285371,-12.06449717154332937694559445,2026-04-13 12:00:2026-04-13 13:00:fill-000017:1089,2026-04-13 12:00:2026-04-13 13:00:fill-000023:1119,US cash open,13:30,1190311,1190311,True,0.3904179652549289739120367298,0.1508060273097256554461723125,0.5460670469015589361145398482
fill,window,2026-04-13 12:00,300000,fill_window_2026_04_13_12_00_300000_2,1,1776088868432,1776088868432,0,-15.37399469348315925761744351,-15.37399469348315925761744351,-15.37399469348315925761744351,-15.37399469348315925761744351,2026-04-13 12:00:2026-04-13 14:00:fill-000003:1156,2026-04-13 12:00:2026-04-13 14:00:fill-000003:1156,US cash open,13:30,1868432,1868432,False,0.09805511619499310880102599099,0.03787556886913457800504423555,0.1371470385570662951850870628
fill,window,2026-04-13 12:00,300000,fill_window_2026_04_13_12_00_300000_3,1,1776091358170,1776091358170,0,-13.14931445022302494001966267,-13.14931445022302494001966267,-13.14931445022302494001966267,-13.14931445022302494001966267,2026-04-13 12:00:2026-04-13 14:00:fill-000035:1316,2026-04-13 12:00:2026-04-13 14:00:fill-000035:1316,US cash open,13:30,4358170,4358170,False,0.08386613772201072131427420773,0.03239481832606853532615268828,0.1173012981894783711684805428
fill,window,2026-04-13 12:00,300000,fill_window_2026_04_13_12_00_300000_4,1,1776095859692,1776095859692,0,-11.31064621543143683740618564,-11.31064621543143683740618564,-11.31064621543143683740618564,-11.31064621543143683740618564,2026-04-13 12:00:2026-04-13 15:00:fill-000020:1447,2026-04-13 12:00:2026-04-13 15:00:fill-000020:1447,US cash open,13:30,8859692,8859692,False,0.07213913826604271384369524881,0.02786505187676315941785313039,0.1008990612745986149648159362
fill,window,2026-04-13 12:00,300000,fill_window_2026_04_13_12_00_300000_5,1,1776096531420,1776096531420,0,-11.05130534759458757414940889,-11.05130534759458757414940889,-11.05130534759458757414940889,-11.05130534759458757414940889,2026-04-13 12:00:2026-04-13 16:00:fill-000006:1476,2026-04-13 12:00:2026-04-13 16:00:fill-000006:1476,US cash open,13:30,9531420,9531420,False,0.07048506595517923140291471178,0.02722613641619652976970887737,0.09858555507729778256707661025
fill,window,2026-04-14 02:00,300000,fill_window_2026_04_14_02_00_300000_1,1,1776132151715,1776132151715,0,-6.058668645885540777522419998,-6.058668645885540777522419998,-6.058668645885540777522419998,-6.058668645885540777522419998,2026-04-14 02:00:2026-04-14 02:00:fill-000001:1636,2026-04-14 02:00:2026-04-14 02:00:fill-000001:1636,Singapore/Hong Kong,01:00,3751715,3751715,False,0.08099557676330029482647101854,0.06136570245557151441949577389,0.3713574495890863090717227155
fill,window,2026-04-14 02:00,300000,fill_window_2026_04_14_02_00_300000_2,1,1776133128831,1776133128831,0,-4.967785527430782199497439337,-4.967785527430782199497439337,-4.967785527430782199497439337,-4.967785527430782199497439337,2026-04-14 02:00:2026-04-14 02:00:fill-000006:1661,2026-04-14 02:00:2026-04-14 02:00:fill-000006:1661,Singapore/Hong Kong,01:00,4728831,4728831,False,0.06641205808538182179257316916,0.05031660689125776987188000634,0.3044933254148326156159775985
fill,window,2026-04-14 02:00,300000,fill_window_2026_04_14_02_00_300000_3,1,1776133971601,1776133971601,0,-5.288470039432247175532764949,-5.288470039432247175532764949,-5.288470039432247175532764949,-5.288470039432247175532764949,2026-04-14 02:00:2026-04-14 02:00:fill-000011:1686,2026-04-14 02:00:2026-04-14 02:00:fill-000011:1686,Singapore/Hong Kong,01:00,5571601,5571601,False,0.07069914300894092536495469211,0.05356468522261793394224878546,0.3241492249960810753122996857
fill,window,2026-04-14 12:00,300000,fill_window_2026_04_14_12_00_300000_1,1,1776174104781,1776174104781,0,-35.26111766948656426260973233,-35.26111766948656426260973233,-35.26111766948656426260973233,-35.26111766948656426260973233,2026-04-14 12:00:2026-04-14 13:00:fill-000018:2052,2026-04-14 12:00:2026-04-14 13:00:fill-000018:2052,US cash open,13:30,704781,704781,True,0.1591831280510217804409248110,0.06950603427902048309861576124,0.2541833370502579756878994545
fill,window,2026-04-14 12:00,300000,fill_window_2026_04_14_12_00_300000_2,1,1776174426399,1776174426399,0,-14.36355443698779350307907654,-14.36355443698779350307907654,-14.36355443698779350307907654,-14.36355443698779350307907654,2026-04-14 12:00:2026-04-14 13:00:fill-000026:2092,2026-04-14 12:00:2026-04-14 13:00:fill-000026:2092,US cash open,13:30,1026399,1026399,True,0.06484296801486334410825136292,0.02831316115455359358173263396,0.1035411365265937831047846751
